fen,game_id
8/2rb1pk1/q2p2p1/3P3p/pQ1N4/1P3P2/PKP3PP/4R3 b - - 0 30,e4
8/r2b1pk1/q1Np2p1/3P3p/1Q6/1P3P2/1KP3PP/4R3 b - - 2 32,e4
8/2rb1pk1/2NQ2p1/3P3p/8/1PK2P2/q1P3PP/4R3 b - - 0 34,e4
r1bqk1nr/1p2ppbp/p2p2p1/2p5/3nP3/3PB1P1/PPPQ1PBP/R2NK1NR b KQkq - 3 8,e5
r1bqk2r/1p2ppbp/p1np1np1/2p5/4P3/2PPB1PP/PP1Q1PB1/R2NK1NR b KQkq - 0 10,e5
r1bqr1k1/1p2ppBp/p1np1np1/2p5/4P3/2PP2PP/PP1Q1PB1/R2NK1NR b KQ - 0 12,e5
r1bqr3/1p2ppkp/p1n2np1/2pp4/4P3/2PP2PP/PPQ1NPB1/R2NK2R b KQ - 1 14,e5
r1bqr3/1p3pkp/p1n2np1/2p1p3/2PpP3/3P2PP/PPQ1NPB1/R2N1RK1 b - - 0 16,e5
r3r3/1p1b1pkp/p1nq1np1/2p1p3/2PpPP2/3P2PP/PPQ1NNB1/R4RK1 b - - 2 18,e5
2r1r3/3b1pkp/p1nq1np1/1pp1p3/2PpPP2/1P1P2PP/P1Q1NNB1/3R1RK1 b - - 2 20,e5
2r1r1n1/3b1pkp/p2q2p1/1pp1p3/1nPpPPP1/1P1P3P/P2QNNB1/3R1RK1 b - - 0 22,e5
2r1r1n1/3b2kp/p2q2p1/1pp1p3/1nPpP1P1/1P1P2NP/P2Q1NB1/3R1RK1 b - - 1 24,e5
2r2Rn1/3bq1kp/p5p1/1pp1p3/1nPpP1P1/1P1P2NP/P2Q2B1/3R2KN b - - 0 26,e5
5rn1/3bq1k1/p5pp/1pp1p3/1nPpP1P1/1P1P2NP/P2Q1NB1/5RK1 b - - 1 28,e5
5rn1/3b2k1/p5pp/1pp1p3/1nPpP1P1/PP1Pq1NP/5NB1/3Q1RK1 b - - 0 30,e5
5rn1/3b2k1/p5pp/1pp1p3/2PpP1P1/PPnPQ1NP/5NB1/5RK1 b - - 0 32,e5
5r2/3b2k1/p4npp/1pp1p3/2P1P1P1/PPnPp1NP/6B1/4R1KN b - - 3 34,e5
r2qkb1r/pp1b1pp1/2n1pn1p/2pp4/3P1BPP/2N1PQ2/PPP1NP2/R3KB1R b KQkq - 3 8,e6
r3kb1r/pp1b1pp1/1qn1pn1p/3p4/3P1BPP/2N2Q2/PPP1NP2/2KR1B1R b kq - 2 10,e6
r3k1nr/pp1b1pp1/1qn1p2p/3p2P1/1b1P1B1P/P1N2Q2/1PP1NP2/2KR1B1R b kq - 0 12,e6
r3k1nr/pp1b1pp1/1qn1p1P1/b2p3p/3P1B1P/P1N2Q1B/1PP1NP2/2KR3R b kq - 0 14,e6
r3k2r/pp1bn1p1/1qn1p1P1/b2p1pBp/3P1N1P/P1N2Q1B/1PP2P2/2KR3R b kq - 3 16,e6
2kr3r/pp1bn1p1/1q2p1P1/b2p1pBp/1P1P1N1P/2N2Q1B/2P2P2/2KR3R b - - 0 18,e6
2kr3r/pp1bn1p1/1q2p1P1/3p1pBp/3P1N1P/b1N2Q1B/2PK1P2/3RR3 b - - 3 20,e6
2kr3r/pp1bn1p1/4p1P1/3p1pBp/2q2N1P/b1NQ3B/2P1KP2/3RR3 b - - 3 22,e6
2k1r2r/pp1bn1p1/4p1P1/3p1pBp/5N1P/b1NP3B/5P2/3RRK2 b - - 2 24,e6
1k2r2r/pp1bn1p1/4N1P1/3p1pBp/1b5P/2NP3B/5P2/2R1RK2 b - - 2 26,e6
1kn4r/pp1b2N1/6P1/3p1pBp/1b5P/2NP3B/5P2/2R1K3 b - - 0 28,e6
1kn4r/pp6/6P1/5NBp/1b1p3P/2NP4/5P2/2R1K3 b - - 0 30,e6
1kn3r1/pp4P1/8/5NBp/3p3P/2bP4/5P2/2R2K2 b - - 0 32,e6
2n3r1/pp1k2P1/5B1N/7p/3p3P/2bP4/5P2/2R2K2 b - - 4 34,e6
rn1q1rk1/ppp1bpp1/4pn1p/3p1b2/8/1P1P1NP1/PBPNPPBP/R2Q1RK1 b - - 4 8,e7
rn1q1rk1/1pp1bppb/4pn1p/p2p4/2P5/PP1P1NP1/1B1NPPBP/R2Q1RK1 b - - 0 10,e7
r2q1rk1/1p1nbppb/2p1pn1p/p2p4/2P5/PPBP1NP1/3NPPBP/R1Q2RK1 b - - 3 12,e7
r2q1rk1/1p1nbppb/5n1p/p1pp4/3P4/PPB2NP1/3NPPBP/R1Q2RK1 b - - 0 14,e7
r2qr1k1/3nbppb/1p3n1p/p1pp4/3P4/PPB2NP1/1Q1NPPBP/R1R3K1 b - - 3 16,e7
r2qr1k1/3nbppb/5n1p/2pp4/p7/PPB1PNP1/1Q1N1PBP/R1R3K1 b - - 0 18,e7
