fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique
r1b2r2/ppp2pk1/2n5/4pBQ1/1bpP4/2N1P1P1/PP2KPP1/8 b - - 3 22,44,ZmIK0RUK,g7h8,-1998,0,g7h8,1.0,1.0,1.0,1.0,g7h8,g7h8,g7h8,g7h8,0.0,1.0,0.0,False
r2qkbnr/2p2ppp/p1p5/3pP3/4P1b1/2P2N2/PP3PPP/RNBQ1RK1 b kq - 0 8,16,UjpnoOi7,d5e4,-131,10,d5e4,0.6558,0.7015,0.7677,0.838,d5e4,d5e4,d5e4,d5e4,0.0,0.838,0.1822,False
3rkbnr/2p2ppp/p1p5/4P3/3Np1b1/2P5/PP3PPP/RNB2RK1 b k - 1 10,20,UjpnoOi7,g8e7,-52,8,c6c5,0.0636,0.0812,0.0785,0.0522,c6c5,c6c5,c6c5,c6c5,6.0,0.0812,-0.0114,False
4kbnr/2p2ppp/p1N5/2prP3/4pBb1/2P5/PP3PPP/RN3RK1 b k - 3 12,24,UjpnoOi7,g8e7,-30,12,c5c4,0.2109,0.3634,0.4438,0.406,g8e7,g8e7,g8e7,g8e7,0.0,0.4438,0.1951,False
4kbnr/2p3pp/p1N5/3rPp2/2N1pBb1/2P5/PP3PPP/R4RK1 b k - 0 14,28,UjpnoOi7,d5c5,-83,123,h7h6,0.3561,0.3277,0.2994,0.2852,d5c5,d5c5,d5c5,g4e2,169.0,0.3561,-0.0709,False
rnbqkb1r/1p3pp1/p4n1p/2pp4/8/P2P1N1P/BPP2PP1/RNBQK2R b KQkq - 1 8,16,JtXWS6PK,d8c7,61,4,c8e6,0.0028,0.0024,0.0016,0.0009,b8c6,b8c6,f8e7,f8d6,-11.0,0.0028,-0.0019,False
rn1qk2r/1p3pp1/p2bbn1p/2pp4/8/P2P1N1P/BPP2PP1/RNBQR1K1 b kq - 5 10,20,JtXWS6PK,e8g8,59,1,e8g8,0.7459,0.796,0.8674,0.9321,e8g8,e8g8,e8g8,e8g8,0.0,0.9321,0.1862,False
rn1q1rk1/1pb2pp1/p3bn1p/2ppN3/8/P1NP3P/BPP2PP1/R1BQR1K1 b - - 9 12,24,JtXWS6PK,f8e8,112,73,b8c6,0.1289,0.1259,0.0902,0.063,d8d6,d8d6,d8d6,d8d6,119.0,0.1289,-0.0659,False
r2q1rk1/2b2pp1/p1p1bn1p/2pp4/8/P1NP1Q1P/BPP2PP1/R1B1R1K1 b - - 1 14,28,JtXWS6PK,d8d6,130,73,d8d6,0.6885,0.7661,0.834,0.8913,d8d6,d8d6,d8d6,d8d6,0.0,0.8913,0.2028,False
r4rk1/2b2pp1/p1pq1n1p/2pp4/5B2/P1NP1QPb/BPP2P2/R3R1K1 b - - 1 16,32,JtXWS6PK,d6d8,227,1,d6d7,0.054,0.0497,0.0447,0.0417,d6d7,d6d7,d6d7,d6d7,-15.0,0.054,-0.0123,False
r4rk1/2bq1pp1/p1p2n1B/2pp4/6b1/P1NPQ1P1/BPP2P2/R3R1K1 b - - 2 18,36,JtXWS6PK,d7f5,413,21,g7h6,0.0124,0.0174,0.0225,0.0311,g7h6,g7h6,g7h6,g7h6,25.0,0.0311,0.0187,False
r4rk1/2b2p2/p1p2n1Q/2pp1q2/5Pb1/P1NP2P1/BPP5/R3R1K1 b - - 0 20,40,JtXWS6PK,f5g6,444,0,g4h5,0.118,0.2039,0.2811,0.2338,f6h5,f5g6,f5g6,f5g6,0.0,0.2811,0.1158,False
r4rk1/2b2p2/p1p2n2/2pp2Pb/8/P1NP2P1/BPP5/R3R1K1 b - - 0 22,44,JtXWS6PK,f6h7,494,35,f6h7,0.168,0.217,0.2684,0.2678,f6g4,f6g4,f6g4,f6g4,42.0,0.2684,0.0998,False
r4rk1/2b1Rp2/p1p5/2pp2nb/8/P1NP2P1/BPP3K1/R7 b - - 1 24,48,JtXWS6PK,c7d6,558,2,c7d6,0.4473,0.5586,0.6458,0.6956,c7d6,c7d6,c7d6,c7d6,0.0,0.6956,0.2483,False
4rrk1/5p2/pRpb4/2pp2nb/8/P1NP2P1/BPP3K1/R7 b - - 5 26,52,JtXWS6PK,h5f3,581,28,d5d4,0.3978,0.4395,0.4335,0.4142,h5f3,h5f3,h5f3,h5f3,0.0,0.4395,0.0164,False
4rrk1/5p2/pRpb4/2p4b/3pP3/P5P1/BPP3K1/R7 b - - 0 28,56,JtXWS6PK,h5g6,492,8,e8e4,0.0183,0.0193,0.0201,0.0205,e8e4,e8e4,e8e4,e8e4,27.0,0.0205,0.0022,False
5rk1/5p2/p1Rb4/2p4b/3p4/P5P1/BPP1r3/R4K2 b - - 2 30,60,JtXWS6PK,f8d8,519,35,d6g3,0.0381,0.0294,0.0242,0.0201,d6g3,d6g3,d6g3,d6g3,77.0,0.0381,-0.018,False
