fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique
r2q1rk1/p2b1ppp/3b1p2/1p1n4/3P4/1QPB4/1P1BNPPP/R4RK1 b - - 1 14,28,?,d7c6,-93,41,d5c7,0.1011,0.1535,0.2236,0.3136,d7e6,d7e6,d7e6,d7c6,0.0,0.3136,0.2125,False
1r1q1rk1/R1nb1ppp/3b1p2/1p6/3PB3/1QP5/1P1BNPPP/5RK1 b - - 0 16,32,?,g7g6,-161,4,f8e8,0.0117,0.0059,0.0038,0.0063,d7e6,d7e6,d7e6,d7e6,31.0,0.0117,-0.0054,False
1r1qr1k1/R1n2ppp/3bbp2/1p6/3P4/2P2B2/1PQBNPPP/5RK1 b - - 4 18,36,?,e6c4,-110,35,e6c4,0.2237,0.3001,0.3408,0.3492,b5b4,e6c4,e6c4,e6c4,0.0,0.3492,0.1255,False
1r1qr1k1/R1n2ppp/3b1p2/8/1pbP4/2P2BN1/1PQB1PPP/4R1K1 b - - 1 20,40,?,e8e1,-105,2,b4b3,0.2684,0.2918,0.2734,0.2716,b4b3,b4b3,b4b3,b4b3,104.0,0.2918,0.0032,False
1r1qr1k1/R4ppp/3b1p2/3n1N2/2bP4/1pP2B2/1P1B1PPP/1Q2R1K1 b - - 3 22,44,?,e8e1,-175,47,d8b6,0.3954,0.4103,0.368,0.2951,e8e1,e8e1,e8e1,e8e1,0.0,0.4103,-0.1003,False
1r2r1k1/5p1p/1q1N1pp1/3n4/2bP4/1pP2B2/1P1B1PPP/RQ2R1K1 b - - 0 24,48,?,b6d6,-216,17,b6d6,0.8478,0.8768,0.9035,0.9196,b6d6,b6d6,b6d6,b6d6,0.0,0.9196,0.0718,False
1r2R1k1/5p1p/3q2p1/R2n1p2/2bP4/1pP2B2/1P1B1PPP/1Q4K1 b - - 0 26,52,?,b8e8,-206,463,b8e8,0.9995,0.9998,0.9999,0.9999,b8e8,b8e8,b8e8,b8e8,0.0,0.9999,0.0004,False
4r1k1/5p1p/1n1q2p1/2R2p2/2bP4/1pP2BP1/1P1B1P1P/1Q4K1 b - - 0 28,56,?,h7h5,-162,1,h7h5,0.0589,0.051,0.0453,0.047,c4e2,c4e2,c4e2,d6e6,203.0,0.0589,-0.0119,False
3qr1k1/2B2p2/1n4p1/2R2p1p/2bP4/1pP2BP1/1P3P1P/1Q4K1 b - - 3 30,60,?,d8e7,-368,13,d8f6,0.3118,0.3344,0.3538,0.3629,d8e7,d8e7,d8e7,d8e7,0.0,0.3629,0.0511,False
4r1k1/4qp2/1BR3p1/5p1p/2bP4/1pP2BP1/1P3P1P/1Q4K1 b - - 0 32,64,?,e7e1,1996,2269,e7e1,0.2214,0.2161,0.2131,0.2085,c4b5,c4b5,c4b5,c4e2,2410.0,0.2214,-0.0129,False
6k1/5p2/1BR3p1/5p1p/2bP4/1pP2BP1/1P3PKP/4r3 b - - 1 34,68,?,c4f1,1998,2348,c4f1,0.7868,0.8216,0.8552,0.8817,c4f1,c4f1,c4f1,c4f1,0.0,0.8817,0.0949,False
r1b1kb1r/pppn1pp1/3p1q1p/4p3/2BPP3/2P2N2/PP1N1PPP/R2QK2R b KQkq - 0 8,16,?,g7g5,10,5,f8e7,0.058,0.0465,0.061,0.0736,f8e7,f8e7,f8e7,g7g6,32.0,0.0736,0.0156,False
