fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique,source,batch,white_elo,black_elo,mover_elo,real_found,hard_core
r2qkb1r/pp2nppp/2n1p3/1BPpP3/6b1/2P1BN2/PP3PPP/RN1QK2R b KQkq - 3 8,16,ceu607iQ,d8a5,-48,23,e7f5,0.0136,0.0144,0.0156,0.0133,e7f5,e7f5,e7f5,e7f5,144.0,0.0156,-0.0003,True,club,03_disagreements_b2,2150,2102,2102,False,True
2k3rr/p1q2p1p/2p1pQ2/3pP3/8/2P1bN2/PP1N2PP/2KR3R b - - 3 16,32,ceu607iQ,c8b8,-428,1,h7h5,0.0032,0.0042,0.0047,0.006,g8g2,g8g2,g8g2,g8g2,200.0,0.006,0.0028,True,club,03_disagreements_b2,2150,2102,2102,False,True
5Q2/pkq2p2/2p1p3/3pP2p/8/1N5P/rP4P1/2KR3R b - - 3 24,48,ceu607iQ,c6c5,-659,20,a7a5,0.044,0.033,0.029,0.0299,c7e5,c7e5,c7e5,c7e5,500.0,0.044,-0.0141,True,club,03_disagreements_b2,2150,2102,2102,False,True
r3k2r/ppq1bppp/2n1bn2/2p1p3/P1NpP3/3P2P1/1PPN1PBP/R1BQ1RK1 b kq - 4 10,20,vksrdlR3,g7g5,80,40,h7h5,0.0047,0.0057,0.0077,0.016,e8g8,e8g8,e8g8,e8g8,103.0,0.016,0.0113,True,club,03_disagreements_b2,2271,2346,2346,False,True
rnb2rk1/pppp1ppp/8/8/1b5q/5N2/PPPPN1PP/R1BQ1BKR b - - 4 8,16,Yz3VqAx5,h4d8,-391,28,h4f6,0.0129,0.0104,0.0116,0.0127,b4c5,b4c5,b4c5,b4c5,163.0,0.0129,-0.0002,True,club,03_disagreements_b2,2131,2042,2042,False,True
r2q3k/pp5p/2p1QRb1/8/3Pp3/4P3/PP4PP/5RK1 b - - 4 22,44,rpMvmypD,a7a5,-634,29,d8d5,0.0202,0.0256,0.0267,0.0243,h8g7,d8d5,d8d5,d8d5,341.0,0.0267,0.0041,True,club,03_disagreements_b2,1945,1944,1944,False,True
8/R7/2p3bp/1p5k/P2Pp3/4P2P/1P4P1/6K1 b - - 0 34,68,rpMvmypD,g6f5,-714,10,b5a4,0.023,0.019,0.0151,0.0146,b5a4,b5a4,b5a4,b5a4,231.0,0.023,-0.0084,True,club,03_disagreements_b2,1945,1944,1944,False,True
1r1q1rk1/ppp2pp1/1b1pbn1p/8/N7/Q5P1/PP2PPBP/R1B1R1K1 b - - 5 14,28,Bfkd6PLe,b6f2,168,64,f8e8,0.0136,0.0221,0.0379,0.0493,b6a5,b6a5,b6a5,b6a5,147.0,0.0493,0.0357,True,club,03_disagreements_b2,1865,1804,1804,False,True
1r1q1rk1/2pbbppp/3p4/1p1B2N1/p2nPB2/P2P3P/1PPQ2P1/R3K2R b KQ - 2 16,32,maccGUuk,d4c2,147,31,c7c6,0.0037,0.0026,0.0024,0.0027,e7g5,c7c6,c7c6,c7c6,147.0,0.0037,-0.001,True,club,03_disagreements_b2,1872,1876,1876,False,True
5rk1/1p4p1/1q5p/5p2/1p2pP2/PPb5/2P1Q1PP/1R3R1K b - - 0 22,44,r0KDFmrm,e4e3,-27,36,f8c8,0.0264,0.0193,0.0132,0.0076,b4a3,b4a3,b4a3,b4a3,292.0,0.0264,-0.0188,True,club,03_disagreements_b2,2022,2009,2009,False,True
