set,elo,fen,engine_best,rank
machine_unique,1100,r1r5/1p1k1pp1/2q1p2p/P2pP3/5P2/8/3N2PP/QR5K b - - 0 24,a8a5,
machine_unique,1100,r1b1k2r/p4ppp/2pqp3/1p5Q/2p1P2P/P1Nn2P1/1P3PB1/3R1RK1 b kq - 1 18,e6e5,4.0
machine_unique,1100,kr6/5p1p/4bp2/2p2P2/3pR1P1/qP1P3P/1NP5/1K1R4 b - - 0 30,b8b3,5.0
machine_unique,1100,2r1kb1r/Nppn1ppp/4p3/4P3/1PB3b1/3PQ1P1/P1PB3q/R3K1R1 b Qk - 0 18,d7e5,3.0
machine_unique,1100,2r1kb1r/Nppn1ppp/4p3/4P3/1PB3b1/3PQ1P1/P1PB3q/R3K1R1 b Qk - 4 20,d7e5,3.0
machine_unique,1100,r2q1rk1/p3b3/1p2R1bp/3p1pp1/3P4/1QP3N1/PP1B1PPP/R5K1 b - - 1 22,d8d7,
machine_unique,1100,r4rk1/p3qb2/1p5R/3p2p1/3P1p2/1QP5/PP1B1PPP/4R1K1 b - - 1 26,e7e1,
machine_unique,1100,8/1bp1nk2/1q2pp2/1P1p2p1/3P3p/r1PNPN1P/2Q2PP1/5RK1 b - - 8 24,f7g7,
machine_unique,1100,8/1bp1nk2/q3pp2/2Np2p1/3P3p/r1P1PN1P/2Q2PP1/1R4K1 b - - 3 26,e7f5,
machine_unique,1100,r1b3k1/1p1p1r1p/pq2n2Q/5p2/2B2P1P/8/PB3RP1/3R2K1 b - - 1 22,a6a5,
machine_unique,1100,8/pppk4/4pp1p/3r4/8/K1Pn3R/5PPP/5R2 b - - 4 26,d3e5,
machine_unique,1100,7r/p2Nnpk1/1qp1p1p1/4P1B1/2p3P1/2Pb4/P2Q1PK1/R7 b - - 0 28,e7d5,
machine_unique,1100,3q2kB/p2Nnp2/2p1p1p1/4P3/2p3P1/2Pb4/P2Q1PK1/R7 b - - 0 30,d3e4,3.0
machine_unique,1100,r1b2rk1/ppp2ppp/2n5/2b1P3/5P2/5N2/PPP1K1PP/R1B2B1R b - - 4 10,c6b4,
machine_unique,1100,r3k2r/1b2b2p/p1nqNn2/8/Pp6/7Q/BPP2PPP/R1B1R1K1 b - - 4 20,h8g8,4.0
machine_unique,1100,3rk2r/1b2b2p/p2qNn2/4B3/Pp6/7Q/BPP2PPP/R3R1K1 b - - 0 22,f6e4,
machine_unique,1100,5k1r/1b1Qb2p/p7/6q1/Pp6/6P1/BPP2P1P/3RR1K1 b - - 0 30,b7h1,
machine_unique,1100,3rk2r/ppq1bpp1/1n2pn1p/2pP4/2P4P/2BQ1NN1/PP3PP1/1K1RR3 b k - 0 16,f6g4,5.0
machine_unique,1100,3rk2r/ppq1bpp1/1n3n1p/2p2N2/2p4P/2B2N2/PP2QPP1/1K1RR3 b k - 1 18,f6g8,
machine_unique,1100,8/ppq1NkB1/5p1p/2pr4/2p3nP/5N2/PP2QPP1/1K2R3 b - - 0 24,c7d6,
machine_unique,1100,r4rk1/6b1/3p1NR1/2pPq3/1pP5/pP2B3/P2N4/1QK4R b - - 0 28,e5f6,3.0
machine_unique,1100,1rb2rk1/1p1p1ppp/p2N4/4b3/1PP5/4PB2/P4P1P/1R1R2K1 b - - 1 22,g7g6,
machine_unique,1100,r3kb1r/5p2/3p3p/1p2p1p1/p2P4/2P1Pq2/BPQ5/R2R2K1 b kq - 0 26,f8g7,
machine_unique,1100,r3r1k1/pp3ppp/3p4/n1p1pNq1/4P3/2PP1Q2/PPB1KP2/6RR b - - 1 20,g5g6,
machine_unique,1100,r2qkb1r/1p4pp/p2p1p1n/2p1n3/8/1PN1P2N/PBP2PP1/R2QK2R b KQkq - 1 12,d8e7,
machine_unique,1100,r2r2k1/pQp1qpbp/6p1/8/1PP5/P2b1B2/R4PPP/2BR2K1 b - - 2 18,d3e4,2.0
machine_unique,1100,3q2k1/pQp2p1p/6pB/8/1Pb5/P1b2B2/5PPP/6K1 b - - 1 22,c3d2,
machine_unique,1100,2k3rr/pp3pp1/2q1p3/2ppP2p/3P1P1Q/2P5/PP1BN3/R5K1 b - - 0 22,c5c4,
machine_unique,1100,r1b1r1k1/2qn1p2/2p4Q/pp2p3/4N2b/PB5P/1PP2PP1/3R1RK1 b - - 0 20,d7f6,
machine_unique,1100,r1br2k1/5p2/2p1nQ2/1p2p3/p7/P6P/BPP2PP1/4R1K1 b - - 1 26,b5b4,
machine_unique,1100,2r5/5ppk/7p/3PPp2/3q3P/1p6/1Pb2RQP/6K1 b - - 5 34,c2d3,
machine_unique,1100,2r5/5ppp/4k3/4p3/8/1KB2P2/1P4PP/2N5 b - - 2 26,h7h5,
machine_unique,1100,2kr3r/p1p3pp/1np1b3/4p3/1bP1Pp2/1P3P2/P1KNNBPP/R2R4 b - - 3 16,b4a3,
control,1100,1k5r/p2Rbppp/Bp6/4P2n/1P6/P4P2/4KP1P/7R b - - 2 24,h5f4,1.0
control,1100,r3q1k1/6bn/p3prpp/1p1bNp2/5P1N/3P3Q/PP4PP/R1B2R1K b - - 6 22,g6g5,1.0
control,1100,8/p4pk1/1p2q1p1/7p/P6P/2Q3P1/5PK1/8 b - - 4 32,g7h7,4.0
control,1100,r1q1r1k1/1p4pp/p2bp3/3p4/P1BR2Q1/2P4P/5PP1/4R1K1 b - - 0 24,d6c5,2.0
control,1100,r1b5/pp3kp1/3p2np/3Pr3/8/2BP2Q1/PPP3PP/6K1 b - - 2 22,e5d5,1.0
control,1100,r1bqk2r/4bp1p/1np3p1/pp6/3P1Q2/P1N2N2/1PP2PPP/2KR1B1R b kq - 0 12,b5b4,1.0
control,1100,2r2rk1/pp3p2/1q1bRppQ/1n1p4/6P1/P1N4P/1PP2P2/R5K1 b - - 0 18,b5c3,2.0
control,1100,r4rk1/1b3ppp/p3p1n1/2p1q1P1/Np2P3/4QB2/PPP3PP/R2R3K b - - 1 20,b7c6,3.0
control,1100,r1b1kb1r/3q1p2/3p2np/pp2p1p1/3PPn2/1QP1BNNP/BP3PP1/R4RK1 b kq - 0 18,a5a4,1.0
