fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique,source,batch,white_elo,black_elo,mover_elo,real_found,hard_core
5rk1/2q2pp1/p1r1p2p/1p1pP3/2nP1PPP/5R2/PP2RQ1K/3N4 b - - 1 26,52,NTmudUlu,f7f6,-58,51,c7a5,0.0466,0.0393,0.0296,0.0209,f8c8,f8c8,f8c8,f8c8,118.0,0.0466,-0.0257,True,club,03_disagreements_b3,1854,1867,1867,False,True
2r3k1/3q1p2/p3pP1p/1p1pP1P1/3P1NP1/nP3R2/P1r1R1QK/8 b - - 0 34,68,NTmudUlu,d7c6,-402,38,h6g5,0.002,0.0012,0.0009,0.0009,c2e2,c2e2,c2e2,h6g5,1591.0,0.002,-0.0011,True,club,03_disagreements_b3,1854,1867,1867,False,True
q5k1/3r1pp1/1p5p/8/2QP4/8/1P3PPP/3R2K1 b - - 0 24,48,U4aufAm5,d7d5,-48,47,a8d8,0.0319,0.0316,0.0355,0.0458,a8e4,a8b7,a8e4,a8e4,645.0,0.0458,0.0139,True,club,03_disagreements_b3,2072,1808,1808,False,True
2kr3r/pp1b1p2/2p1p2p/4P2Q/2P1pP2/4P3/PP1qBKP1/1R5R b - - 2 18,36,o6uFrnOr,h8g8,-154,19,d8f8,0.0259,0.0235,0.0238,0.0218,d7e8,d7e8,d7e8,d7e8,110.0,0.0259,-0.0041,True,club,03_disagreements_b3,2071,1966,1966,False,True
8/ppkb3r/2p1pr2/2P4p/1P1RpP2/4P2B/P4KP1/3R4 b - - 0 28,56,o6uFrnOr,a7a5,-292,1,b7b6,0.0015,0.0012,0.0013,0.0026,e6e5,e6e5,e6e5,e6e5,1023.0,0.0026,0.0011,True,club,03_disagreements_b3,2071,1966,1966,False,True
2r3k1/4bpp1/p3pnp1/q2pN1B1/3P2P1/pQP4P/P4P2/K1R4R b - - 1 22,44,y4Ve6P4n,e7f8,-392,1,e7d6,0.0067,0.0092,0.0159,0.0316,f6e4,f6e4,f6e4,f6e4,263.0,0.0316,0.0249,True,club,03_disagreements_b3,1820,1817,1817,False,True
r1bq1rk1/pp3ppn/2np1b1p/2p5/4PP2/1PN2N1P/PBPP2Q1/2KR1B1R b - - 4 12,24,hEHEUXlL,g8h8,-249,9,c8e6,0.0058,0.0104,0.0188,0.0251,c6d4,c6d4,c6d4,c6d4,122.0,0.0251,0.0193,True,club,03_disagreements_b3,1981,1937,1937,False,True
r1b2rk1/4bp2/3pqnpP/2p3B1/1pB1PQ2/P4P2/2P5/1NKR3R b - - 2 22,44,HZaRciCX,f6h7,-134,76,e6e5,0.0294,0.0382,0.0373,0.0289,e6c4,e6c4,e6c4,e6c4,159.0,0.0382,-0.0005,True,club,03_disagreements_b3,1829,1889,1889,False,True
rn1qk1nr/1bp5/1p1pp3/p4p1p/3P2p1/P1BNP1P1/1PP1BP1P/R2QK1R1 b Qkq - 0 12,24,7IS6Uo4v,d8e7,81,5,d6d5,0.0106,0.0112,0.0147,0.0171,h5h4,h5h4,h5h4,h5h4,168.0,0.0171,0.0065,True,club,03_disagreements_b3,2068,2097,2097,False,True
1rr1bk2/4p2Q/p2p2p1/1p1P2P1/8/3B4/PPP5/2K5 b - - 0 28,56,c9Hw9Tq4,a6a5,-429,9,e8f7,0.0136,0.0073,0.0038,0.0028,e8f7,e8f7,e8f7,e8f7,1564.0,0.0136,-0.0108,True,club,03_disagreements_b3,1914,1943,1943,False,True
rnbq1b1r/pp1kp1p1/2p3Qn/5pN1/2B1p3/2NP4/PPP2PPP/R1B1K2R b KQ - 0 8,16,8mmBwre4,e7e5,-491,13,e4d3,0.0181,0.0132,0.0126,0.0179,d7c7,d7c7,d7c7,d7c7,163.0,0.0181,-0.0002,True,club,03_disagreements_b3,1971,2048,2048,False,True
q5k1/4br2/2p1QppR/B2p4/1PpP1P2/4P2P/5P1K/8 b - - 2 30,60,1AEdVI5a,e7f8,-325,29,g8g7,0.0495,0.0428,0.0358,0.037,g8g7,g8g7,g8g7,g8g7,180.0,0.0495,-0.0125,True,club,03_disagreements_b3,1814,1824,1824,False,True
rnbq1rk1/p3ppbp/5np1/1pp1N3/4P3/2PBN3/PP2QPPP/R1B2RK1 b - - 1 12,24,cvl51e70,f6h5,115,131,c8b7,0.0174,0.0243,0.0307,0.0351,c5c4,c5c4,c5c4,c5c4,141.0,0.0351,0.0177,True,club,03_disagreements_b3,1960,1932,1932,False,True
r1b3k1/pppp1ppp/3b1qn1/2N5/2BP1n2/2P4P/PP3PP1/R1BQN1K1 b - - 0 14,28,Lt3dOWym,d6e7,-17,6,f6g5,0.0043,0.003,0.0023,0.0023,g6h4,f4h3,f4h3,f4h3,317.0,0.0043,-0.002,True,club,03_disagreements_b3,1843,1868,1868,False,True
r2qr1k1/2pbbpnp/2n3pB/p3P3/1pQ5/P4N1P/1PBN1PP1/R3R1K1 b - - 4 20,40,o8O9ylSR,d8c8,-222,9,c6a7,0.007,0.0079,0.0111,0.0137,g7f5,d7e6,d7e6,d7e6,266.0,0.0137,0.0067,True,club,03_disagreements_b3,1973,1966,1966,False,True
r3r1k1/n1p1bpnp/6pB/pb2P3/1p2N1P1/P4N2/1PB2PP1/3RR1K1 b - - 0 24,48,o8O9ylSR,a5a4,-127,43,b4a3,0.0318,0.0194,0.0103,0.0062,b4a3,b4a3,g7e6,g7e6,144.0,0.0318,-0.0256,True,club,03_disagreements_b3,1973,1966,1966,False,True
r3r1k1/n1p1bpnp/2b3pB/p3P1N1/4N1P1/P7/2B2PP1/3RR1K1 b - - 2 26,52,o8O9ylSR,a8b8,-181,20,c6e4,0.0151,0.0105,0.0105,0.0144,e7a3,e7a3,e7a3,e7a3,720.0,0.0151,-0.0007,True,club,03_disagreements_b3,1973,1966,1966,False,True
6k1/2qn1pp1/2p1pn1p/p1Pp4/P2P4/2N1PN1P/1Q3PP1/6K1 b - - 0 22,44,zq3uUTiW,c7c8,-45,7,c7b8,0.0202,0.019,0.0142,0.0095,c7b8,c7b8,c7b8,c7b8,181.0,0.0202,-0.0107,True,club,03_disagreements_b3,2085,2055,2055,False,True
5rk1/pb1r1p2/1p2p1pq/2p1Q3/3pP3/1PPP1R2/PB5P/6RK b - - 0 26,52,knEavsaR,d7d5,-183,29,h6g7,0.0049,0.0037,0.0032,0.0041,d4c3,d4c3,d4c3,d4c3,180.0,0.0049,-0.0008,True,club,03_disagreements_b3,2190,2145,2145,False,True
7k/pp4rp/5Q2/8/3P4/6qP/P4RP1/6K1 b - - 3 32,64,0Q99wlIy,g3g5,-286,13,g3c3,0.0054,0.004,0.0032,0.0038,g3h3,g3h3,g3h3,g3h3,1699.0,0.0054,-0.0016,True,club,03_disagreements_b3,1818,1869,1869,False,True
7k/2p3p1/5p1p/P7/8/7P/2r2PP1/R5K1 b - - 1 30,60,q2I3yrcc,c2e2,-402,4,c2d2,0.0174,0.0097,0.0061,0.0057,c2c6,c2c6,c2c6,c2c6,243.0,0.0174,-0.0117,True,club,03_disagreements_b3,2016,2075,2075,False,True
8/pp2k2r/1b4Rp/3K3B/5P2/1P6/P7/8 b - - 0 34,68,q0sTJe2I,e7f8,-54,2,h7f7,0.0395,0.0383,0.0317,0.0291,b6e3,b6e3,b6e3,b6e3,536.0,0.0395,-0.0104,True,club,03_disagreements_b3,1888,1896,1896,False,True
r1b2rk1/p1p3pp/1pnq4/4ppN1/8/2PP2NP/PPQ2PP1/R3R1K1 b - - 0 16,32,dsszGWrZ,g8h8,71,6,c8a6,0.0009,0.0013,0.0019,0.0033,f5f4,h7h6,h7h6,h7h6,287.0,0.0033,0.0024,True,club,03_disagreements_b3,2060,2002,2002,False,True
5rk1/1bq3pp/p6r/R2p1p2/2p1n3/2P1PBP1/RPQ1NPP1/6K1 b - - 5 24,48,Ozg3AnjD,c7f7,39,39,f8f6,0.035,0.0383,0.0381,0.0376,f8f6,f8f6,f8f6,f8f6,112.0,0.0383,0.0026,True,club,03_disagreements_b3,2183,2176,2176,False,True
6k1/1b1q2pp/p4r1r/R2p1p2/2p1nN2/2P1PBP1/RP3PP1/3Q2K1 b - - 9 26,52,Ozg3AnjD,h6h1,371,367,f6d6,0.0062,0.0052,0.0033,0.0022,f6d6,f6d6,f6d6,f6d6,324.0,0.0062,-0.004,True,club,03_disagreements_b3,2183,2176,2176,False,True
2rq1rk1/pb2ppbp/1p1p1np1/2nP4/P1P1P3/2NB1N2/1B3PPP/R2Q1RK1 b - - 0 12,24,m0ONQrwx,f6e4,187,130,a7a6,0.0094,0.0114,0.0147,0.0245,c5d3,c5d3,c5d3,c5d3,207.0,0.0245,0.0151,True,club,03_disagreements_b3,1901,1885,1885,False,True
r5k1/pp1b3n/2n1pr2/1N3p1Q/1bP4P/3B1N2/Pq3PP1/1R3K1R b - - 6 20,40,HI7JbcE1,b2b1,443,133,b2a2,0.005,0.0054,0.007,0.0099,b2a2,b2a2,b2a2,b2a2,133.0,0.0099,0.0049,True,club,03_disagreements_b3,1875,1803,1803,False,True
4rbk1/3n1p2/2p2p2/2P4p/1N1PrP1P/1P2B3/1K3P2/3RR3 b - - 0 26,52,WSplDOjo,d7c5,-327,134,f6f5,0.0256,0.023,0.0213,0.0181,d7b8,d7b8,d7b8,d7b8,127.0,0.0256,-0.0075,True,club,03_disagreements_b3,2162,1895,1895,False,True
7Q/p4pp1/3k4/7p/5P2/1q2n3/1P3PBP/2R3K1 b - - 0 26,52,fSCK3dD2,b3b6,-826,5,e3g2,0.0014,0.0011,0.001,0.0009,e3g2,e3g2,e3g2,e3g2,1159.0,0.0014,-0.0005,True,club,03_disagreements_b3,1900,1913,1913,False,True
7Q/p4pp1/3k4/3q3p/5P2/8/1P3P1P/2R3K1 b - - 2 28,56,fSCK3dD2,d6e7,-702,84,d5d2,0.0085,0.0097,0.0117,0.0149,d5d2,d5d2,d5d2,d5d2,1288.0,0.0149,0.0064,True,club,03_disagreements_b3,1900,1913,1913,False,True
2r1r1k1/3R1pp1/pqp4p/1p3P2/PP3P2/1Q2n1P1/6BP/5R1K b - - 4 28,56,dEWPDRSG,e3d5,35,38,e3c4,0.0164,0.019,0.0181,0.017,e3f1,e3f1,e3f1,e3f1,2033.0,0.019,0.0006,True,club,03_disagreements_b3,1849,1852,1852,False,True
2r3k1/3R1pp1/pqp2P1p/1p6/PPn2P2/4r1P1/6BP/3Q1R1K b - - 2 30,60,dEWPDRSG,e3e6,-197,29,g7g6,0.0264,0.0256,0.0231,0.021,g7f6,g7f6,g7f6,g7f6,436.0,0.0264,-0.0054,True,club,03_disagreements_b3,1849,1852,1852,False,True
1qr3k1/3R1p2/p1p2Ppp/Pp6/1PnQ1P2/4r1P1/6BP/5R1K b - - 2 32,64,dEWPDRSG,c8f8,-137,93,b8a8,0.0188,0.0226,0.0237,0.0241,c8e8,c8e8,c8e8,c8e8,148.0,0.0241,0.0053,True,club,03_disagreements_b3,1849,1852,1852,False,True
1r4k1/5pp1/p2N3p/P1P1p3/1n2P3/1r2P3/qP4PP/1QKR3R b - - 0 26,52,f1FvICRW,b3b2,1996,1411,a2a5,0.0387,0.0262,0.0159,0.0119,a2a5,a2a5,a2a5,a2a5,1412.0,0.0387,-0.0268,True,club,03_disagreements_b3,2002,1951,1951,False,True
2kq3r/Qp2n1b1/2p5/4p2p/PP3pp1/1NPP4/5PPP/R3R1K1 b - - 0 24,48,i2UgkIr6,d8c7,-461,21,g4g3,0.0293,0.0379,0.0421,0.0392,d8d3,d8d3,d8d3,d8d3,331.0,0.0421,0.0099,True,club,03_disagreements_b3,1898,1840,1840,False,True
3q3r/1Q2n1b1/2p1k3/4p2p/PP2Np2/2PP2P1/6PP/R3R1K1 b - - 0 28,56,i2UgkIr6,h5h4,-561,9,f4g3,0.0193,0.0244,0.033,0.0419,f4g3,f4g3,f4g3,f4g3,139.0,0.0419,0.0226,True,club,03_disagreements_b3,1898,1840,1840,False,True
r7/1ppb1kq1/p2p2n1/2PPp1b1/1P2PpP1/2N2B2/P2BK1P1/1R3Q2 b - - 7 28,56,qyAxT4aT,g7f8,-4,55,a8h8,0.015,0.0209,0.0273,0.0432,a8h8,a8h8,a8h8,a8h8,115.0,0.0432,0.0282,True,club,03_disagreements_b3,1942,2008,2008,False,True
r1bq1rk1/pp2bppp/2nppn2/6N1/2B1P2P/2N1B3/PP2QPP1/R3K2R b KQ - 4 10,20,Ag0mY8jf,d8a5,170,13,c6e5,0.0106,0.0103,0.0147,0.0323,h7h6,h7h6,h7h6,d6d5,115.0,0.0323,0.0217,True,club,03_disagreements_b3,2175,2243,2243,False,True
r6k/1R4pp/2q1B3/pp4N1/7P/2P5/P2B2P1/R3K3 b Q - 0 26,52,Ag0mY8jf,h7h6,-263,232,c6b7,0.0174,0.0166,0.0148,0.0187,c6b7,c6b7,c6b7,c6b7,437.0,0.0187,0.0013,True,club,03_disagreements_b3,2175,2243,2243,False,True
2r1q1k1/3b2bp/3Bp1p1/1pNpPn2/1P6/P4P2/5P1P/2RQR1K1 b - - 1 26,52,KHzhVP8u,h7h5,-217,34,e8f7,0.0088,0.0079,0.0088,0.0121,f5d6,f5d6,f5d6,f5d6,169.0,0.0121,0.0033,True,club,03_disagreements_b3,1876,1926,1926,False,True
r3r3/pp3ppk/2pq1n1p/4pP2/4B2R/4BQ2/PP4PP/5RK1 b - - 3 26,52,I3ZRN2oC,a7a5,-331,4,d6b4,0.0124,0.0119,0.0098,0.0089,f6e4,f6e4,f6e4,f6e4,114.0,0.0124,-0.0035,True,club,03_disagreements_b3,2074,2107,2107,False,True
r3r3/pp2qppk/2p2n1p/4pP2/4B2R/1P2B2Q/P5PP/5RK1 b - - 2 28,56,I3ZRN2oC,a8d8,-352,55,f6e4,0.0369,0.0165,0.0099,0.006,f6e4,f6g8,f6g8,f6g8,1638.0,0.0369,-0.0309,True,club,03_disagreements_b3,2074,2107,2107,False,True
r3r1k1/pp3pp1/2p2q2/4pPp1/6R1/1P2B2Q/P6P/5RK1 b - - 1 32,64,I3ZRN2oC,f6d6,-517,11,f6h6,0.0176,0.0157,0.0162,0.0203,e5e4,g8f8,g8f8,a8d8,170.0,0.0203,0.0027,True,club,03_disagreements_b3,2074,2107,2107,False,True
r3k1nr/pbpq1pp1/1pn1p2p/3pP1NQ/3P4/P1PB4/2P2PPP/R1B1K2R b KQkq - 1 10,20,gCHDM3CA,c6d8,-107,118,g7g6,0.0129,0.0142,0.0166,0.0339,e8c8,e8c8,e8c8,e8c8,236.0,0.0339,0.021,True,club,03_disagreements_b3,1873,1864,1864,False,True
2kr3r/pppqbp2/2np3p/1B4p1/3NPPb1/2N3P1/PPPQ2P1/2K1R1R1 b - - 2 16,32,ituJJOBm,d6d5,-283,118,e7f6,0.0182,0.0116,0.007,0.0048,a7a6,a7a6,a7a6,a7a6,139.0,0.0182,-0.0134,True,club,03_disagreements_b3,2042,1977,1977,False,True
2r3k1/p3Rp2/5p1p/8/2pp4/8/PPP2PPP/4R1K1 b - - 0 22,44,8HVH06kT,c8c6,-588,9,d4d3,0.0053,0.0053,0.0069,0.0105,d4d3,d4d3,d4d3,d4d3,205.0,0.0105,0.0052,True,club,03_disagreements_b3,2137,2186,2186,False,True
r5k1/p4ppp/R1p3r1/8/5n2/PB1P2PP/1PP2P2/4R2K b - - 0 32,64,l8d5iBTF,f4d5,-552,7,f4h3,0.0247,0.0205,0.0192,0.0227,f4h3,f4h3,f4h3,f4h3,117.0,0.0247,-0.002,True,club,03_disagreements_b3,1851,1827,1827,False,True
1r3k2/p2RNpp1/7p/5Q2/4P3/P6P/4qPP1/6K1 b - - 5 30,60,PPgzzPqc,f7f6,-740,133,e2a2,0.0056,0.0053,0.0045,0.0053,b8b1,b8b1,b8b1,b8b1,1250.0,0.0056,-0.0003,True,club,03_disagreements_b3,1876,1896,1896,False,True
r2k1bnr/1p3pp1/pqn1p1b1/3pP3/BP1P1NP1/P1N1B3/7P/R2QK2R b KQ - 2 16,32,SbIOs3iE,c6e5,62,292,g8h6,0.0043,0.0064,0.0124,0.0313,g6h7,g6h7,g6h7,g6h7,348.0,0.0313,0.027,True,club,03_disagreements_b3,1855,1966,1966,False,True
r3k2r/2qnbppp/p1b1p3/1pp5/4P3/P1N1QN1P/1PP2PP1/3RRBK1 b kq - 7 16,32,nRmma4ee,d7b6,77,52,c5c4,0.0137,0.0119,0.0099,0.0106,e8g8,e8g8,e8g8,e8g8,112.0,0.0137,-0.0031,True,club,03_disagreements_b3,1887,1918,1918,False,True
2r3k1/6rp/2npp1p1/pp2p3/4P3/2PN1PP1/PP1R4/1K5R b - - 2 26,52,4W7EHMZY,c6d8,121,8,g7f7,0.0037,0.0036,0.0032,0.004,b5b4,b5b4,b5b4,b5b4,121.0,0.004,0.0003,True,club,03_disagreements_b3,2025,2006,2006,False,True
1r2n3/3bq1k1/3p2p1/1p1Pp1Pp/p2pP2P/P2B1N2/1PP2Q2/1K3R2 b - - 2 28,56,YFXChSV4,d7h3,-73,7,b5b4,0.039,0.0227,0.0123,0.0097,e8c7,b5b4,b5b4,b5b4,134.0,0.039,-0.0293,True,club,03_disagreements_b3,1928,2057,2057,False,True
4n3/3bq1k1/3p2p1/3Pp1Pp/pr1pP2P/3B4/1PP2Q2/1K2NR2 b - - 1 30,60,YFXChSV4,d7h3,51,54,a4a3,0.0217,0.0142,0.0095,0.0097,a4a3,a4a3,a4a3,a4a3,198.0,0.0217,-0.012,True,club,03_disagreements_b3,1928,2057,2057,False,True
r1b2rk1/1p2n1pp/3p2q1/p2P1p2/PnP1p2B/1N6/1P2BPPP/R2QR1K1 b - - 2 18,36,dwHky4UU,e7d5,-60,67,g6f7,0.0176,0.0131,0.0123,0.0091,f5f4,f5f4,f5f4,f5f4,245.0,0.0176,-0.0085,True,club,03_disagreements_b3,2077,2103,2103,False,True
3r3r/k1q5/1p1pbp2/p7/1QP1Pp1p/R4P1P/P4P2/1K1R1B2 b - - 0 32,64,9AXkZwcs,h8h5,82,16,c7c5,0.0318,0.0237,0.0189,0.0211,a7b7,a7b7,a7b7,a7b7,152.0,0.0318,-0.0107,True,club,03_disagreements_b3,1982,2085,2085,False,True
r5k1/p1p3pp/7r/3ppq2/3p1pR1/1P1P1P1P/P1PB1Q1K/R7 b - - 1 24,48,ij7bcoJ6,h6h3,-226,10,a8f8,0.0166,0.0185,0.0207,0.0209,f5h5,f5h5,f5h5,f5h5,109.0,0.0209,0.0043,True,club,03_disagreements_b3,1928,1969,1969,False,True
1rb2rk1/p4pb1/2pp1qp1/4p3/4P3/1BN1P1Q1/PPP3P1/2K2R1R b - - 9 18,36,Vy4nFFT2,f6f1,-544,66,f6e7,0.0014,0.001,0.0008,0.0009,f6e7,f6e7,f6e7,f6e7,1449.0,0.0014,-0.0005,True,club,03_disagreements_b3,1994,2038,2038,False,True
r3r1k1/pp4pp/1qp2n2/3pb1B1/1P1P4/P1P4P/4Q1P1/RN3R1K b - - 1 18,36,2LDcoemx,f6e4,480,169,e5f4,0.0193,0.0144,0.0104,0.008,e5d4,e5d4,e5d4,e5d4,276.0,0.0193,-0.0113,True,club,03_disagreements_b3,2038,2066,2066,False,True
7r/p5k1/2Qb1pp1/5q2/3P4/P5P1/1B3P2/2R3K1 b - - 0 34,68,kpok5YSI,g6g5,-53,63,d6g3,0.0086,0.004,0.0024,0.0022,f5h3,f5h3,f5h3,f5h3,120.0,0.0086,-0.0064,True,club,03_disagreements_b3,1857,1869,1869,False,True
2k1r2r/p1p2ppp/3q4/1p1n4/3P4/PK1B1P2/1P1P2b1/RNBQ2R1 b - - 0 22,44,ddFMmm6O,d6e6,-1,218,g2h3,0.0147,0.0122,0.0105,0.0099,g2h3,g2h3,g2h3,d5f4,275.0,0.0147,-0.0048,True,club,03_disagreements_b3,1855,1903,1903,False,True
2k4r/p1p2ppp/4r3/1p3b2/3P4/P1QP4/KP1B4/R2q4 b - - 1 32,64,ddFMmm6O,b5b4,571,64,d1a4,0.0049,0.0028,0.0021,0.002,d1a4,d1a4,d1a4,d1a4,274.0,0.0049,-0.0029,True,club,03_disagreements_b3,1855,1903,1903,False,True
r1b1r1kb/p1q2p1p/6pB/1pnpp1Q1/8/2P1N1PP/PP1NPP2/R2R2K1 b - - 1 18,36,ljdtgrIr,c7c6,260,37,d5d4,0.0262,0.0227,0.0203,0.0182,d5d4,d5d4,d5d4,d5d4,105.0,0.0262,-0.008,True,club,03_disagreements_b3,2143,2121,2121,False,True
r6k/pp3Q1p/3qN1p1/8/3P4/8/PP3PPP/R5K1 b - - 0 26,52,SWvsjtQc,d6e6,-950,1041,a8g8,0.0263,0.0147,0.0086,0.007,a8g8,a8g8,a8g8,a8g8,1048.0,0.0263,-0.0193,True,club,03_disagreements_b3,1818,1813,1813,False,True
7r/ppp1k1p1/2n5/6pr/2Qp4/6B1/PPP2PPP/RN4K1 b - - 1 18,36,zfJdegTu,g7g6,-693,7,g5g4,0.0051,0.0046,0.0047,0.0039,g5g4,g5g4,e7d7,e7d7,190.0,0.0051,-0.0012,True,club,03_disagreements_b3,2166,2071,2071,False,True
4r1k1/1ppq1ppp/p4B2/2b2N2/3pP3/1P1P4/1PP3PP/R3QRK1 b - - 0 18,36,dJ7uESp1,g7g6,-781,37,g7f6,0.0384,0.0298,0.0198,0.0121,g7f6,g7f6,g7f6,g7f6,1217.0,0.0384,-0.0263,True,club,03_disagreements_b3,1967,1927,1927,False,True
5rk1/Q4ppp/4p3/8/3P1B2/P3P3/1qrN1PbP/3RK1R1 b - - 1 20,40,B3hPrr7k,c2d2,0,235,g2h3,0.0369,0.0361,0.0285,0.0226,g2f3,g2f3,g2f3,g2d5,424.0,0.0369,-0.0143,True,club,03_disagreements_b3,1823,1881,1881,False,True
1r2kb1r/p2q4/1p1p1n1p/2p1P3/3p1Pp1/1Q3R1N/PPPB2PP/4R1K1 b - - 0 22,44,EBpWTVP7,f6e4,-104,5,d6e5,0.0167,0.0106,0.0081,0.0076,d6e5,g4f3,g4f3,g4f3,188.0,0.0167,-0.0091,True,club,03_disagreements_b3,1963,2013,2013,False,True
1r2k3/p2qb2r/1p3n1p/2p1R3/3p1P2/1QP4p/PP1B2PP/4R1K1 b - - 0 26,52,EBpWTVP7,d7c6,506,62,h3g2,0.0042,0.0035,0.0033,0.0039,h3g2,h3g2,h3g2,h3g2,220.0,0.0042,-0.0003,True,club,03_disagreements_b3,1963,2013,2013,False,True
4r2k/1b4b1/ppq3pp/8/P4N2/1B5P/2PQ1RP1/6K1 b - - 1 28,56,kpCT5sDf,c6f6,-2,9,h8h7,0.0134,0.0138,0.0134,0.0142,g7c3,h8h7,h8h7,h8h7,266.0,0.0142,0.0008,True,club,03_disagreements_b3,2212,2321,2321,False,True
5rk1/P1p2pp1/1p1p1n1p/8/4q3/1PN1P3/R1P2P2/4KQN1 b - - 2 20,40,cHAZ6XtR,e4h1,-407,18,e4c6,0.0279,0.0165,0.0109,0.0097,e4b4,e4b4,e4b4,e4b4,122.0,0.0279,-0.0182,True,club,03_disagreements_b3,1820,1835,1835,False,True
r2q1rk1/pp2bppp/n1p1p3/3pPP2/3P2P1/2PQB3/PP1N3P/R4RK1 b - - 0 14,28,EeSLbpv7,f7f6,-149,14,c6c5,0.0324,0.0387,0.0309,0.0163,e6f5,e6f5,e6f5,e6f5,131.0,0.0387,-0.0161,True,club,03_disagreements_b3,2048,2089,2089,False,True
2r2rk1/pp3ppp/n7/3pPR2/3P2Pq/P2QR2P/1P1N2K1/8 b - - 0 22,44,EeSLbpv7,h4h6,-19,12,c8c1,0.0212,0.0218,0.0179,0.0147,c8c1,c8c1,c8c1,c8c1,368.0,0.0218,-0.0065,True,club,03_disagreements_b3,2048,2089,2089,False,True
r3kbnr/pppq1p1p/3p4/n5p1/3PPp2/2PB1Q1P/PP4P1/RNB2RK1 b kq - 0 10,20,9Rujgivv,f8g7,-54,28,g8f6,0.0139,0.0151,0.0179,0.035,e8c8,e8c8,e8c8,e8c8,147.0,0.035,0.0211,True,club,03_disagreements_b3,1890,1961,1961,False,True
2r5/1b5k/1n1qp3/pp1p1pRB/3P1P2/1P2P3/P4P1P/3Q3K b - - 0 26,52,r9FPi0Hd,d6c7,-547,44,e6e5,0.0199,0.0284,0.0385,0.0463,c8g8,c8g8,c8g8,c8g8,123.0,0.0463,0.0264,True,club,03_disagreements_b3,2346,2187,2187,False,True
r3r1k1/p4ppp/2p3n1/2bq4/6Q1/2P5/PP4PP/RNBR3K b - - 4 16,32,H7hj8oGi,g6e5,580,126,d5e6,0.0256,0.017,0.0138,0.0114,d5e5,d5e5,d5e5,d5e5,223.0,0.0256,-0.0142,True,club,03_disagreements_b3,2088,2077,2077,False,True
4r1k1/p4ppp/2p1r1n1/8/1P6/2P1b3/P5PP/RN1RB2K b - - 4 20,40,H7hj8oGi,e3c1,418,302,e3b6,0.0127,0.0131,0.0147,0.0181,e3b6,e3b6,e3b6,e3b6,360.0,0.0181,0.0054,True,club,03_disagreements_b3,2088,2077,2077,False,True
1k1r1bnr/pppbqpp1/2p4p/4N3/4PP2/2NPB3/PPP3PP/R2Q1RK1 b - - 2 10,20,cnQiXnp1,d7c8,-236,5,d7e8,0.0246,0.0221,0.0252,0.0377,f7f6,f7f6,f7f6,f7f6,205.0,0.0377,0.0131,True,club,03_disagreements_b3,1945,1947,1947,False,True
r1q1r1k1/pb1np1bp/1p3pp1/2pNP3/2P2P1Q/4BB2/PP4PP/R4RK1 b - - 1 16,32,pEJVyXfx,b6b5,-204,23,g8h8,0.0054,0.0023,0.0012,0.001,f6e5,f6e5,f6e5,f6e5,116.0,0.0054,-0.0044,True,club,03_disagreements_b3,2443,2557,2557,False,True
r2qk2r/ppp2ppp/2nb4/8/2BPp3/2P2P1P/P1P2P2/R1BQR1K1 b kq - 0 12,24,ZcProtP6,e4e3,-160,80,e8g8,0.0064,0.0036,0.0025,0.0015,e8g8,d8h4,d8h4,d8h4,447.0,0.0064,-0.0049,True,club,03_disagreements_b3,1834,1864,1864,False,True
r1b1k2r/2p1npp1/p1p2q2/1p2N2p/5P2/2P1PB2/P5PP/R2Q1RK1 b kq - 1 20,40,A6jZFS3t,c8e6,-13,6,c8b7,0.0148,0.0223,0.0313,0.0384,c8g4,c8b7,c8b7,c8b7,525.0,0.0384,0.0236,True,club,03_disagreements_b3,1813,1911,1911,False,True
8/p1p3pp/2n3k1/3r1pP1/1p5P/8/PPPBNR2/2K5 b - - 5 30,60,4WqyBTe9,d5a5,-464,1,a7a5,0.0187,0.018,0.017,0.0192,g6h5,g6h5,g6h5,g6h5,263.0,0.0192,0.0005,True,club,03_disagreements_b3,1994,2045,2045,False,True
r4kr1/ppqb3p/2p2BP1/8/1P2B3/2P2Q2/P4PPP/3RR1K1 b - - 0 20,40,06DajgrA,d7f5,-1151,63,c7a5,0.0008,0.0009,0.001,0.001,h7g6,h7g6,h7g6,h7g6,832.0,0.001,0.0002,True,club,03_disagreements_b3,1874,1803,1803,False,True
2r2rk1/2qbnp2/p1n1pBp1/1p1pP3/3P4/P1PB1N2/3Q1PPP/R4RK1 b - - 5 20,40,Ohqi3ZSx,c6d4,-1096,230,f8e8,0.003,0.002,0.0015,0.0015,e7f5,e7f5,e7f5,e7f5,896.0,0.003,-0.0015,True,club,03_disagreements_b3,2005,1973,1973,False,True
r4rk1/1p4bp/pn1p1qp1/2pPp3/4P3/1PN3Q1/1PP2P2/2KR2R1 b - - 1 22,44,1R0gowxI,f6f3,488,0,f6f4,0.0336,0.0351,0.0389,0.0381,f6f2,f6f2,f6f2,f6f2,131.0,0.0389,0.0045,True,club,03_disagreements_b3,1818,1830,1830,False,True
