fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique,source,batch,white_elo,black_elo,mover_elo,real_found,hard_core
r4rk1/qpp2pp1/3pbn1p/p7/B3P3/2p2N1P/PP4PK/R1B1QN2 b - - 0 16,32,e1946,d6d5,-50,0,a7c5,0.0201,0.0097,0.0055,0.0062,c3b2,c3b2,c3b2,c3b2,186.0,0.0201,-0.0139,True,elite,03_elite_b3,3047,3043,3043,False,True
3r2k1/ppp3pp/8/4b3/8/4PP1P/PP1BK3/2R5 b - - 4 24,48,e1950,d8d5,-31,3,c7c6,0.002,0.0013,0.0011,0.0015,e5b2,e5b2,e5b2,e5b2,141.0,0.002,-0.0005,True,elite,03_elite_b3,2517,2693,2693,False,True
r2q1rk1/pp3bb1/2pp4/3n2pp/2BPNpPn/1PP2P1P/PBNQRK2/R7 b - - 5 26,52,e1958,d5e3,168,67,h5g4,0.0262,0.0339,0.0418,0.041,h5g4,h5g4,h5g4,h5g4,103.0,0.0418,0.0148,True,elite,03_elite_b3,2380,2523,2523,False,True
r3k1nr/1b1p1pbp/p3p1p1/1p6/4P2q/1BNPB3/PP1Q1PPP/R3R1K1 b kq - 4 14,28,e1968,h7h6,-155,13,g8h6,0.0123,0.0125,0.0169,0.0407,g7e5,g8e7,g8e7,g8e7,284.0,0.0407,0.0284,True,elite,03_elite_b3,2513,2416,2416,False,True
b3kr2/4bN2/1R2p1pP/4P3/2p1pB2/2p1P2Q/1P3P1P/6K1 b - - 0 28,56,e1969,a8d5,-684,305,c3c2,0.0139,0.0147,0.0155,0.0184,e8f7,e8f7,e8f7,e8f7,1314.0,0.0184,0.0045,True,elite,03_elite_b3,2412,2630,2630,False,True
4Q3/p5bk/1p1q2pp/8/3PBN2/4P1P1/PP3P1K/2r5 b - - 15 34,68,e1971,c1c8,-819,22,d6f8,0.0283,0.0235,0.0174,0.012,c1f1,d6f6,d6f6,d6f6,1172.0,0.0283,-0.0163,True,elite,03_elite_b3,2686,2401,2401,False,True
r2r2k1/1p1q1p2/5Qbp/p7/2B5/1P5P/5PP1/4RNK1 b - - 0 24,48,e1973,d7c6,0,93,d7d6,0.016,0.0166,0.0174,0.017,d8e8,d8e8,d8e8,d8e8,550.0,0.0174,0.001,True,elite,03_elite_b3,2510,2361,2361,False,True
r2r1k2/1p6/4B1Qp/p7/5q2/1P4NP/5PP1/6K1 b - - 2 28,56,e1973,a8a6,393,161,f8e7,0.0248,0.0195,0.0165,0.0224,d8d1,d8d1,d8d1,d8d1,176.0,0.0248,-0.0024,True,elite,03_elite_b3,2510,2361,2361,False,True
2r1r1k1/Qp3pp1/6b1/2n3q1/1n2p3/2N1P3/PP1BBP2/1K1R3R b - - 3 22,44,e1975,b4c6,-52,29,g5f6,0.035,0.021,0.0103,0.0065,c8a8,c8a8,c8a8,c5d3,210.0,0.035,-0.0285,True,elite,03_elite_b3,2402,2526,2526,False,True
3rr1k1/2bq1pp1/R1p1bn1p/3pp3/1P2Pn2/3P1NNP/2QB1PP1/4RBK1 b - - 0 20,40,e1983,f4g6,-92,21,d5e4,0.0178,0.017,0.0165,0.0168,d5e4,d5e4,d5e4,d5e4,105.0,0.0178,-0.001,True,elite,03_elite_b3,2687,2517,2517,False,True
1b1rr1k1/3q1pp1/2R1bn2/1P2p3/4Pn1p/2R2N1P/2QBNPP1/5BK1 b - - 1 26,52,e1983,f4d3,-58,160,f6e4,0.0258,0.0266,0.0339,0.0474,f4e2,f4e2,f4e2,f4e2,227.0,0.0474,0.0216,True,elite,03_elite_b3,2687,2517,2517,False,True
2r3k1/pp1r1ppp/1qn1bn2/1B2p3/Q2P4/P3PP2/4N1PP/B1RR2K1 b - - 0 18,36,e1985,e5e4,-50,1,e5d4,0.0348,0.0318,0.0296,0.0296,e5d4,e5d4,e5d4,e5d4,103.0,0.0348,-0.0052,True,elite,03_elite_b3,2640,2578,2578,False,True
r4rk1/ppp2npp/2nbq3/1B1NpQ2/3pP3/1P4P1/PBPP3P/R4RK1 b - - 3 16,32,e1988,c6d8,30,53,e6f5,0.007,0.0069,0.0085,0.0146,e6f5,e6f5,e6f5,e6f5,100.0,0.0146,0.0076,True,elite,03_elite_b3,2486,2519,2519,False,True
3rr1k1/ppq2ppp/2p2nb1/3P4/2P1p3/1PN5/PB2BPPb/R2QR2K b - - 1 18,36,e1989,c7f4,526,77,h2e5,0.0345,0.0288,0.0322,0.0469,h2e5,h2e5,h2e5,h2e5,112.0,0.0469,0.0124,True,elite,03_elite_b3,2564,2495,2495,False,True
rnbq1rk1/1p4bp/6p1/1p1p4/p2Pp3/P1N1P1P1/1B3PBP/R2Q1RK1 b - - 1 16,32,e1990,b8a6,45,18,c8e6,0.016,0.0123,0.0115,0.0157,c8d7,c8d7,c8d7,c8d7,256.0,0.016,-0.0003,True,elite,03_elite_b3,2558,2527,2527,False,True
rn3rk1/1p4bp/6p1/2Np2q1/1p1Pp1b1/PQ2P1P1/1B3PBP/1R3RK1 b - - 4 20,40,e1990,f8f7,-67,72,f8f3,0.0208,0.0202,0.0194,0.0171,b8c6,b4a3,b4a3,b4a3,229.0,0.0208,-0.0037,True,elite,03_elite_b3,2558,2527,2527,False,True
6r1/1p5p/4k3/4bp2/1Pp1p2P/2P1P2B/rP1RKP2/7R b - - 4 26,52,e1991,g8g6,-9,10,b7b5,0.0054,0.0067,0.0078,0.0087,e5c3,e5c3,e5c3,e5c3,341.0,0.0087,0.0033,True,elite,03_elite_b3,2455,2518,2518,False,True
5rk1/1p4p1/1r5p/1PR2n2/3p1P2/5NPP/7K/3R4 b - - 1 34,68,e1992,b6e6,-21,1,f8d8,0.0156,0.014,0.0137,0.0167,f5e3,f5e3,f5e3,f5e3,134.0,0.0167,0.0011,True,elite,03_elite_b3,2573,2547,2547,False,True
2r2qk1/pb3ppp/1p2p3/4P3/2nN4/P5Q1/5PPP/R2R2K1 b - - 1 20,40,e1994,h7h6,-90,5,f8c5,0.0135,0.0174,0.0218,0.0351,c4b2,f8c5,f8c5,f8c5,306.0,0.0351,0.0216,True,elite,03_elite_b3,2468,2503,2503,False,True
5rk1/R4ppp/1p2p3/2qbQ1N1/7P/8/5PP1/3R2K1 b - - 0 26,52,e1994,c5c4,-451,14,f7f6,0.0166,0.0154,0.0141,0.0128,f7f6,c5c2,b6b5,b6b5,228.0,0.0166,-0.0038,True,elite,03_elite_b3,2468,2503,2503,False,True
5r1k/4R2p/5pp1/1p4q1/6Q1/5P2/5P2/R5K1 b - - 4 34,68,e1994,b5b4,-563,3,g5c5,0.0044,0.0021,0.0012,0.0011,g5c5,g5c5,g5c5,g5c5,1427.0,0.0044,-0.0033,True,elite,03_elite_b3,2468,2503,2503,False,True
1r1q2k1/1p1r2b1/1P1Nb1pp/Q1P1pp2/P2p4/3P2P1/5PBP/2R2RK1 b - - 0 26,52,e2001,g8h7,-345,24,g7f8,0.0321,0.0417,0.0448,0.0434,g7f8,g7f8,g7f8,g7f8,126.0,0.0448,0.0113,True,elite,03_elite_b3,2530,2532,2532,False,True
1r1q2k1/1p6/1P1r2pp/Q3Rb2/P7/3p2P1/5PBP/1R4K1 b - - 1 32,64,e2001,b8c8,-68,72,d3d2,0.0072,0.0056,0.0057,0.0098,d3d2,d3d2,d3d2,d3d2,119.0,0.0098,0.0026,True,elite,03_elite_b3,2530,2532,2532,False,True
r3nrk1/1b1n1ppp/3qp3/p2pN1P1/1PpP1P2/2P1PQ2/1PBN3P/R4RK1 b - - 0 18,36,e2003,d6e7,-236,85,a5b4,0.0009,0.0004,0.0002,0.0001,a5b4,a5b4,a5b4,a5b4,150.0,0.0009,-0.0008,True,elite,03_elite_b3,2526,2484,2484,False,True
r1b2rk1/ppp1qppp/5n2/8/2BB1P2/4P3/PPQ3PP/R3K2R b KQ - 2 14,28,e2005,f8d8,-15,1,f6e4,0.0348,0.0293,0.0241,0.0269,c8e6,c7c5,c7c5,c7c5,350.0,0.0348,-0.0079,True,elite,03_elite_b3,2564,2468,2468,False,True
r1bq1rk1/pp3ppp/5n2/4p3/3b4/1PN2B2/PBP2PPP/R2QR1K1 b - - 1 14,28,e2006,e5e4,43,40,f8e8,0.044,0.03,0.023,0.0122,f8e8,f8e8,d8b6,d8b6,146.0,0.044,-0.0318,True,elite,03_elite_b3,2736,2673,2673,False,True
r3r1k1/ppqb1ppp/5n2/2Q5/N7/1P3B2/P1P2PPP/R3R1K1 b - - 2 18,36,e2006,e8c8,-93,10,d7c6,0.0038,0.0037,0.0042,0.0051,c7c5,c7c5,c7c5,c7c5,199.0,0.0051,0.0013,True,elite,03_elite_b3,2736,2673,2673,False,True
5k2/1R3p2/1p1r2p1/4N2p/n1P4P/6P1/2P2P2/5K2 b - - 1 34,68,e2006,f7f5,-146,129,a4b2,0.0241,0.0187,0.0142,0.013,d6f6,d6f6,d6f6,d6f6,394.0,0.0241,-0.0111,True,elite,03_elite_b3,2736,2673,2673,False,True
6r1/1pq5/2pNpb1k/P3p1rp/P1P1Pp2/5Q1P/5PP1/3R2RK b - - 0 32,64,e2013,c6c5,-170,98,g8g7,0.0482,0.041,0.0322,0.0223,c7a5,c7a5,c7a5,c7a5,379.0,0.0482,-0.0259,True,elite,03_elite_b3,2704,2544,2544,False,True
r4rk1/1p2bp1p/2n2n2/2Ppp1p1/1P4P1/P4P1R/1B1NB1P1/2K4R b - - 0 20,40,e2016,f8b8,-154,15,g8g7,0.0079,0.0107,0.017,0.0235,d5d4,d5d4,d5d4,d5d4,154.0,0.0235,0.0156,True,elite,03_elite_b3,2608,2504,2504,False,True
3r1k1r/1p2Np1p/5n2/2P1n1B1/1PBp2P1/P4P1R/2K5/7R b - - 0 30,60,e2016,f6g4,-596,46,e5c4,0.0009,0.0008,0.0009,0.0011,f8e7,f8e7,f8e7,f8e7,159.0,0.0011,0.0002,True,elite,03_elite_b3,2608,2504,2504,False,True
2rq1r1k/p2n1pp1/1p2p2p/4P2P/2bN1PQ1/1NB5/PP5P/1K1R4 b - - 1 24,48,e2022,d8e8,329,4,d7c5,0.0089,0.0088,0.01,0.012,c4b3,c4b3,c4b3,c4b3,148.0,0.012,0.0031,True,elite,03_elite_b3,2737,2956,2956,False,True
r7/ppq1r1kp/2nR1pp1/2Q1p3/8/2P5/P1P2PBP/1R4K1 b - - 7 22,44,e2024,e5e4,225,45,a8c8,0.0488,0.0443,0.0412,0.0337,a8d8,a8d8,a8d8,a8c8,133.0,0.0488,-0.0151,True,elite,03_elite_b3,2511,2451,2451,False,True
2r3k1/1q2bppp/4p3/3bN3/1p1NnP2/3QP3/1P3PBP/R5K1 b - - 1 22,44,e2026,h7h6,60,12,e7f6,0.0116,0.0101,0.0083,0.0069,e4c5,e4c5,e4c5,e4c5,119.0,0.0116,-0.0047,True,elite,03_elite_b3,2617,2500,2500,False,True
r1bq1rk1/4npb1/p1n1p3/2Np3p/QP1P2p1/4P3/3BBPPP/R3NRK1 b - - 2 20,40,e2031,a8a7,-122,91,e6e5,0.005,0.0057,0.0061,0.0068,c8d7,c8d7,c8d7,c6b8,113.0,0.0068,0.0018,True,elite,03_elite_b3,2515,2466,2466,False,True
