fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique,source,family,piece,capture,check,quiet,pawn_move,phase,real_found
2r1r1k1/pp1q1ppp/6b1/8/3P2P1/bPB2Q1P/P2K1P2/4R2R b - - 0 22,44,SsRdlpbU,a3b4,771,114,b7b5,0.0466,0.0463,0.045,0.0399,e8e1,e8e1,e8e1,e8e1,198.0,0.0466,-0.0067,True,club,7,bishop,False,False,True,False,middlegame,False
r4r1k/2pb1ppp/1p1p4/3Pp3/p1P1Pq2/P2R3P/1PB1QPP1/5RK1 b - - 3 24,48,Rl0fBuS7,f7f6,47,0,f4h6,0.0051,0.0047,0.0042,0.0041,f4g5,f4g5,f4g5,f7f5,119.0,0.0051,-0.001,True,club,0,pawn,False,False,True,True,middlegame,False
2bqkb1r/Q2n1ppp/1pp1pn2/2Pp4/1P1P1B2/2N5/4PPPP/4KBNR b Kk - 2 10,20,8SxcdQNQ,e6e5,31,89,b6c5,0.0227,0.0145,0.0124,0.0233,b6c5,b6c5,b6c5,b6c5,327.0,0.0233,0.0006,True,club,1,pawn,False,False,True,True,opening,False
r2qk2r/1b1pbppp/p1n1p3/3nP3/3P4/2PQ1N1P/2B2PP1/RNB2RK1 b kq - 4 14,28,iFDXiv5U,a8c8,-45,2,d8b6,0.0121,0.0204,0.0368,0.0467,e8g8,a6a5,g7g6,g7g6,133.0,0.0467,0.0346,True,club,1,rook,False,False,True,False,middlegame,False
r3k2r/1b1p1ppp/pqn1p3/3nP1N1/3P4/2PQ3P/2B2PP1/RN3RK1 b kq - 0 16,32,iFDXiv5U,f7f5,-96,32,d5f4,0.016,0.0181,0.0192,0.0169,g7g6,g7g6,g7g6,h7h6,147.0,0.0192,0.0009,True,club,1,pawn,False,False,True,True,middlegame,False
8/3p4/R2Np2Q/3kP3/1r1n4/7P/5P2/5K2 b - - 0 32,64,iFDXiv5U,d4b5,-832,95,b4b1,0.0021,0.0013,0.0008,0.0006,b4b1,b4b1,b4b1,b4b1,276.0,0.0021,-0.0015,True,club,3,knight,False,False,True,False,endgame,False
r5k1/2q3p1/2p1prbp/1p1n4/pPpP4/P1P2BN1/3Q1PPP/R3R1K1 b - - 1 24,48,aBdZ4a4J,f6f3,117,69,a8f8,0.0105,0.0067,0.0033,0.0017,a8f8,a8f8,a8f8,a8f8,220.0,0.0105,-0.0088,True,club,0,rook,True,False,False,False,middlegame,False
6k1/2q2bp1/2p4p/1p1nRN2/pPpP4/P2r4/4QP1P/R5K1 b - - 3 30,60,aBdZ4a4J,c7d8,199,105,f7g6,0.0111,0.0152,0.0204,0.0297,d5f4,d5f4,d5f4,d5f4,307.0,0.0297,0.0186,True,club,5,queen,False,False,True,False,middlegame,False
8/2q3pk/2p3Np/1p1nR3/pPpP4/P2r4/4QP1P/R5K1 b - - 0 32,64,aBdZ4a4J,c7f7,-332,17,h7g6,0.0307,0.0304,0.0278,0.0275,h7g6,h7g6,h7g6,h7g6,118.0,0.0307,-0.0032,True,club,2,queen,False,False,True,False,middlegame,False
2r3k1/4npp1/4p2p/4P3/P4PP1/1q3QK1/1r1B4/R2R4 b - - 1 34,68,KR9Vhl2R,b3b8,196,24,b3b8,0.0221,0.022,0.0199,0.0169,b3f3,b3f3,b3f3,b3c2,196.0,0.0221,-0.0052,True,club,5,queen,False,False,True,False,middlegame,True
