fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique,source,family,piece,capture,check,quiet,pawn_move,phase,real_found
5rk1/1b3pbn/pp2p3/2p4Q/2Pr1q2/P2P3P/1P2NPP1/3RRBK1 b - - 6 24,48,qZLPT0hp,f4c7,318,34,f4g5,0.0139,0.0078,0.0054,0.0053,f4g5,f4g5,f4g5,f4g5,110.0,0.0139,-0.0086,True,club,7,queen,False,False,True,False,middlegame,False
r4k1r/1p2RNpp/pq1P4/5p2/2p2n2/2Nn1Q1P/PP3PP1/R5K1 b - - 2 18,36,OM2qHjrb,g7g5,-437,44,h8g8,0.0132,0.0119,0.0125,0.0159,b6b2,b6b2,h8g8,h8g8,163.0,0.0159,0.0027,True,club,6,pawn,False,False,True,True,middlegame,False
6r1/2R2Nkp/p2P4/5pp1/2pq1n2/2Nn1Q1P/PP3PP1/R5K1 b - - 2 22,44,OM2qHjrb,h7h5,-600,8,g5g4,0.0115,0.0124,0.0148,0.0201,g5g4,g5g4,g7f6,g7f6,138.0,0.0201,0.0086,True,club,3,pawn,False,False,True,True,middlegame,False
r4rk1/pp2q1b1/2bp2pp/4pp2/8/2P1BN2/PP1Q1PPP/3RR1K1 b - - 3 18,36,0g9lTXH6,g6g5,143,26,f8c8,0.0271,0.0221,0.0177,0.0134,a8d8,a8d8,a8d8,a8d8,123.0,0.0271,-0.0137,True,club,0,pawn,False,False,True,True,middlegame,False
r1b1k2r/1p1p2pp/2qBp3/p3PnN1/3P1Q2/8/P5PP/R4RK1 b kq - 4 20,40,Pi96Pipq,h7h5,-326,41,f5d6,0.0056,0.0063,0.0072,0.0082,h7h6,h7h6,h7h6,h7h6,108.0,0.0082,0.0026,True,club,6,pawn,False,False,True,True,middlegame,False
r3qrk1/pb5p/4pb1Q/1p1nNpp1/2pPp3/P1P1P2P/1P3PPB/1B2RRK1 b - - 7 20,40,TaHL3yIB,f6d8,21,108,f6e5,0.0011,0.001,0.001,0.0008,f6g7,f6g7,f6g7,f6g7,205.0,0.0011,-0.0003,True,club,0,bishop,False,False,True,False,middlegame,False
r3r1k1/ppqn1ppp/2pb1n2/6B1/2BP4/5N2/PPQ2PPP/4RRK1 b - - 2 14,28,O1eoiKWa,f6d5,-37,16,d6f4,0.0115,0.0228,0.0472,0.0439,e8e1,h7h6,h7h6,h7h6,181.0,0.0472,0.0324,True,club,1,knight,False,False,True,False,middlegame,False
r2qkb1r/pbp2ppp/2pn4/4N3/3N4/P2P4/1PP2PPP/R1BQK2R b KQkq - 0 10,20,MAIk18Zx,d6b5,-210,12,c6c5,0.0361,0.0237,0.0182,0.0152,c6c5,d8e7,d8e7,d8e7,206.0,0.0361,-0.0209,True,club,1,knight,False,False,True,False,opening,False
3q1rk1/1pb2pp1/4p2p/2P5/3PP3/rb1B1N1P/3Q2P1/1R3R1K b - - 2 26,52,1TOowowk,d8a8,-37,56,a3a2,0.0194,0.0213,0.0268,0.0404,c7a5,c7a5,c7a5,c7a5,255.0,0.0404,0.021,True,club,0,queen,False,False,True,False,middlegame,False
r7/1b4kp/pp2p1p1/2p1K3/2Pr2R1/P4P2/1PR3PP/8 b - - 4 30,60,9MXxoxBD,d4d1,492,7,d4g4,0.0335,0.0205,0.0151,0.0163,d4g4,d4g4,d4g4,d4g4,143.0,0.0335,-0.0172,True,club,7,rook,False,False,True,False,endgame,False
3r3r/2qk1p2/1p2p1p1/pRb1P3/P1Pp1P1p/3BnQ1P/2PB2P1/4R2K b - - 3 24,48,e1,d7e8,14,124,d7e7,0.024,0.0258,0.0264,0.0246,e3f5,e3f5,e3f5,e3f5,138.0,0.0264,0.0006,True,elite,0,king,False,False,True,False,middlegame,False
r3k2r/1pbnn1pp/p1p2p2/P3p3/2N1P3/3NB3/1PP1KPPP/R6R b kq - 0 14,28,e3,h7h5,-111,5,e8c8,0.0057,0.0051,0.0043,0.0049,e8g8,e8g8,e8g8,e8g8,113.0,0.0057,-0.0008,True,elite,1,pawn,False,False,True,True,middlegame,False
rq3r2/3bppk1/p2p1np1/1pn3Qp/3NP3/1BN2P2/PPP3PP/1K1RR3 b - - 1 16,32,e4,e7e6,-34,83,b5b4,0.0101,0.0092,0.0087,0.0114,c5b3,c5b3,c5b3,a6a5,186.0,0.0114,0.0013,True,elite,1,pawn,False,False,True,True,middlegame,False
r1bqk2r/1p2ppbp/p1np1np1/2p5/4P3/2PPB1PP/PP1Q1PB1/R2NK1NR b KQkq - 0 10,20,e5,a6a5,-52,4,e8g8,0.0021,0.0025,0.0024,0.0016,e8g8,e8g8,b7b5,b7b5,216.0,0.0025,-0.0005,True,elite,1,pawn,False,False,True,True,opening,False
2kr3r/pp1bn1p1/4p1P1/3p1pBp/2q2N1P/b1NQ3B/2P1KP2/3RR3 b - - 3 22,44,e6,a3b4,-268,41,c4d3,0.043,0.0477,0.0492,0.0437,c4c5,c4c7,c4c7,c4c7,184.0,0.0492,0.0007,True,elite,2,bishop,False,False,True,False,middlegame,False
r4rk1/4b2p/3p1npP/3Pp3/ppq1N2R/3RB3/PPP2PQ1/1K6 b - - 3 24,48,e8,g8h8,4,86,g8h8,0.0012,0.0018,0.0026,0.0053,b4b3,f6e4,f6e4,f6e4,194.0,0.0053,0.0041,True,elite,0,king,False,False,True,False,middlegame,True
2k4r/1ppq4/p1Rb2pp/Q2Pp3/4P2P/4Pr2/PP6/1KR5 b - - 1 26,52,e9,h8f8,469,22,b7c6,0.0142,0.0136,0.0168,0.0228,b7c6,b7c6,f3e3,f3e3,108.0,0.0228,0.0086,True,elite,7,rook,False,False,True,False,middlegame,False
r4rk1/1p2bpp1/p1n1b2p/qp1p3P/3P4/PQ3NB1/1P3PP1/1B2RK1R b - - 2 18,36,e11,a5a4,-91,182,f8e8,0.0424,0.0372,0.0322,0.0277,b5b4,e7f6,e7f6,e7f6,293.0,0.0424,-0.0147,True,elite,1,queen,False,False,True,False,middlegame,False
4r1k1/1p4p1/p6p/1p1pBB1P/3P1P2/b7/1q4PK/5Q1R b - - 0 28,56,e11,b2b3,-524,8,a3e7,0.03,0.0287,0.0256,0.0181,b5b4,b5b4,b5b4,b5b4,141.0,0.03,-0.0119,True,elite,3,queen,False,False,True,False,middlegame,False
r1q4r/p2k2bp/p2np1p1/4N3/2PPQ3/3P4/5P2/1R3K1R b - - 7 34,68,e14,d7e8,215,22,g7e5,0.0281,0.0244,0.0256,0.0346,g7e5,g7e5,g7e5,g7e5,117.0,0.0346,0.0065,True,elite,6,king,False,False,True,False,middlegame,False
2r2rk1/p7/bpp1q3/3p1p1p/4n1p1/1P2P1P1/P4PBP/BQRR2K1 b - - 1 24,48,e15,g8h7,112,7,g8h7,0.0168,0.0234,0.0245,0.0225,a6e2,a6e2,a6e2,a6e2,504.0,0.0245,0.0057,True,elite,0,king,False,False,True,False,middlegame,True
r3q1rk/1bnnb1p1/3p1pPp/p1pPpP1Q/P1P1P2P/3B4/7N/R1B1KNR1 b Q - 3 22,44,e23,e8g6,-818,204,e7f8,0.0021,0.0013,0.0008,0.0004,c7a6,c7a6,c7a6,d7f8,1178.0,0.0021,-0.0017,True,elite,3,queen,True,False,False,False,middlegame,False
8/1pQb1r1k/p4qpp/3P1p2/2Pp4/3P2P1/PP2R1BP/7K b - - 0 26,52,e24,h7g7,-246,38,g6g5,0.0129,0.0129,0.0133,0.0133,d7a4,d7a4,d7a4,d7a4,119.0,0.0133,0.0004,True,elite,6,king,False,False,True,False,endgame,False
8/1p1b2rk/1q1P1Q1p/p2B1pp1/2Pp4/3P2P1/PP2R2P/7K b - - 3 30,60,e24,b6b2,-795,54,a5a4,0.0248,0.0143,0.0092,0.0072,a5a4,a5a4,a5a4,a5a4,1201.0,0.0248,-0.0176,True,elite,3,queen,True,False,False,False,endgame,False
b2rq1k1/p5p1/1p3p1p/2nP4/6Q1/4N1PP/P4PB1/2R3K1 b - - 5 32,64,e29,h6h5,-95,27,c5d3,0.0453,0.0368,0.0266,0.025,c5d3,c5d3,e8e5,e8e5,185.0,0.0453,-0.0203,True,elite,4,pawn,False,False,True,True,middlegame,False
1r1q1rk1/1b2bppp/4p3/p3P3/3B2R1/1P3N2/P4PPP/2RQ2K1 b - - 2 20,40,e30,h7h5,26,42,d8d5,0.0196,0.0187,0.0187,0.0386,b7f3,b7f3,b7f3,b7f3,109.0,0.0386,0.019,True,elite,0,pawn,False,False,True,True,middlegame,False
2r2rk1/5ppp/4p3/p2bP3/6R1/bP2BN1P/P4PP1/3R2K1 b - - 2 24,48,e30,h7h5,-22,37,f8d8,0.0372,0.0321,0.0269,0.0358,c8c2,c8c2,c8c2,c8c2,243.0,0.0372,-0.0014,True,elite,4,pawn,False,False,True,True,middlegame,False
6k1/5p1N/4pBp1/p2bP3/6R1/bP5P/P4PPK/2r5 b - - 1 30,60,e30,a3b2,-148,16,a3b2,0.0017,0.0011,0.0011,0.0018,g8h7,g8h7,g8h7,g8h7,1850.0,0.0018,0.0001,True,elite,6,bishop,False,False,True,False,endgame,True
3R4/pr3pkp/4p1pN/2r3Pn/5P2/1Pp5/P1P5/1K2R3 b - - 1 32,64,e33,h5f6,-186,400,h5f6,0.0178,0.0284,0.0345,0.0411,h5f4,h5f4,f7f6,f7f6,1813.0,0.0411,0.0233,True,elite,4,knight,False,False,True,False,endgame,True
1rb2k2/3p1pb1/pq1Np1rp/3PPp1Q/P1B2P2/2P3R1/6PP/5R1K b - - 2 28,56,e36,b6d6,-596,74,e6d5,0.0031,0.0029,0.0031,0.0033,g6g3,g6g3,g6g3,g6g3,1403.0,0.0033,0.0002,True,elite,6,queen,True,False,False,False,middlegame,False
3r2k1/rp1n2p1/pNn1pp1p/P2p1b2/3P4/R3PN1P/1P2BPP1/2R3K1 b - - 1 20,40,e41,f5g6,-96,71,g8f7,0.0022,0.0019,0.0012,0.0008,d7b6,d7b6,d7b6,d7b6,111.0,0.0022,-0.0014,True,elite,4,bishop,False,False,True,False,middlegame,False
2rn4/1p2k3/1P2pp1p/2Np2pB/3P4/r3P2P/5PP1/1RR3K1 b - - 5 34,68,e41,a3a8,-512,35,c8b8,0.0405,0.0407,0.04,0.0414,e7d6,e7d6,e7d6,e7d6,338.0,0.0414,0.0009,True,elite,3,rook,False,False,True,False,middlegame,False
r1bq1rk1/4ppbp/3p1np1/nppP4/1P2P3/P5P1/3NNPBP/R1BQ1RK1 b - - 0 12,24,e44,f6d7,17,5,a5b7,0.001,0.0013,0.0016,0.0037,c5b4,c5b4,c5b4,c5b4,282.0,0.0037,0.0027,True,elite,1,knight,False,False,True,False,middlegame,False
rn1q1rk1/pp3ppp/2pb4/3p1b2/2PPn3/1Q1B1N2/PP3PPP/RNB1R1K1 b - - 3 10,20,e45,b8a6,-50,2,b8a6,0.0319,0.0204,0.0168,0.0248,b7b6,b7b6,b7b6,d5c4,118.0,0.0319,-0.0071,True,elite,1,knight,False,False,True,False,opening,True
r4rk1/pp3ppp/1q1bb3/6B1/1n1PN3/Q4N2/PP3PPP/R3R1K1 b - - 2 16,32,e45,f8e8,-40,11,f7f6,0.002,0.0012,0.0005,0.0003,b4c2,b4c2,b4c2,b4c2,269.0,0.002,-0.0017,True,elite,0,rook,False,False,True,False,middlegame,False
3rr1k1/pp4pp/5p2/Q2b4/3P1q2/4R3/PP3PPP/R3N1K1 b - - 6 22,44,e45,d5c6,-42,6,d5c6,0.0118,0.0137,0.0159,0.0171,e8e3,e8e3,e8e3,e8e3,534.0,0.0171,0.0053,True,elite,4,bishop,False,False,True,False,middlegame,True
3r2k1/pp4pp/2b2p2/Q7/3P1q2/4P3/PPN3PP/R5K1 b - - 0 24,48,e45,f4d6,-44,16,f4d6,0.0367,0.0321,0.0297,0.032,f4e4,f4e4,f4e4,f4e4,512.0,0.0367,-0.0047,True,elite,4,queen,False,False,True,False,endgame,True
r1r3k1/p4ppp/8/3P4/2N2Q2/1P3PP1/P1n3KP/8 b - - 2 24,48,e47,h7h6,-434,1,c2b4,0.0183,0.0142,0.0117,0.0118,c2e1,c2b4,c2b4,c2b4,153.0,0.0183,-0.0065,True,elite,6,pawn,False,False,True,True,endgame,False
3r4/4p1bk/1pp1brpp/p1pqB3/P7/1P1P3P/2P2PPN/R1Q1R1K1 b - - 1 20,40,e51,f6f2,71,293,f6f2,0.0303,0.0273,0.0298,0.0382,f6f5,f6f5,f6f7,f6f7,331.0,0.0382,0.0079,True,elite,6,rook,True,False,False,False,middlegame,True
8/4pk2/1pp1brpp/p1p1R1P1/P7/1P1PKN1P/2P5/8 b - - 0 28,56,e51,f6f3,-98,208,f6f5,0.0199,0.0211,0.0216,0.0323,h6g5,h6g5,h6g5,h6g5,396.0,0.0323,0.0124,True,elite,4,rook,True,True,False,False,endgame,False
8/4p3/1pp3Nk/p1pb1K2/P7/1P1P3P/2P5/8 b - - 1 34,68,e51,d5f3,-270,91,d5g2,0.0245,0.0218,0.0223,0.0295,e7e6,e7e6,e7e6,e7e6,203.0,0.0295,0.005,True,elite,4,bishop,False,False,True,False,endgame,False
r6k/7p/6p1/p2BP1N1/1p1P4/qPp3P1/2Qn3P/1R4K1 b - - 0 30,60,e53,a5a4,-330,67,a5a4,0.0124,0.0092,0.0067,0.0063,d2b1,d2b1,d2b1,d2b1,153.0,0.0124,-0.0061,True,elite,3,pawn,False,False,True,True,middlegame,True
8/pp1b2k1/5p1p/2pBr2P/P3P3/1P6/6P1/R4RK1 b - - 0 30,60,e56,d7g4,-539,8,b7b6,0.0331,0.0275,0.0238,0.0259,e5h5,b7b6,b7b6,b7b6,132.0,0.0331,-0.0072,True,elite,3,bishop,False,False,True,False,endgame,False
2kr3r/Qp1b1n2/3p1q2/3P4/5ppP/1PP5/P2PB1P1/2K1R2R b - - 0 24,48,e60,d8e8,121,26,d8e8,0.0295,0.0261,0.0221,0.0227,f4f3,f4f3,c8c7,f7e5,121.0,0.0295,-0.0068,True,elite,6,rook,False,False,True,False,middlegame,True
1kb1r3/1p2qn2/1Q1p4/1B1P4/3P2pP/1PP5/PK2p1P1/4R3 b - - 1 34,68,e60,e7h4,393,269,e7h4,0.0456,0.0364,0.0298,0.0298,c8d7,c8d7,c8d7,c8d7,393.0,0.0456,-0.0158,True,elite,6,queen,True,False,False,False,middlegame,True
5rk1/p1p2pp1/1p3b1p/3B4/3P1B2/2P3Q1/Pnq2PPP/4RK2 b - - 0 26,52,orph_586,c7c5,-13,2,c2d3,0.0117,0.0135,0.0139,0.0188,b2d3,b2d3,b2d3,b2d3,440.0,0.0188,0.0071,True,elite,4,pawn,False,False,True,True,middlegame,False
8/r2p2kp/P3npp1/2p5/3qN3/7P/5PP1/R3Q1K1 b - - 6 32,64,e77,d4e5,132,109,c5c4,0.0344,0.0443,0.0495,0.0452,f6f5,e6c7,d7d5,d7d5,251.0,0.0495,0.0108,True,elite,5,queen,False,False,True,False,endgame,False
r1b1qrk1/1p2bppp/p2pp3/2n3PQ/3BP3/1BN3R1/PPP2P1P/R3K3 b Q - 0 14,28,e78,f7f5,-357,5,c5b3,0.0065,0.0086,0.011,0.0159,c5b3,c5b3,c5b3,c5b3,1629.0,0.0159,0.0094,True,elite,1,pawn,False,False,True,True,middlegame,False
r1b1k2r/p4ppp/1qp2n2/3p4/1b6/4B1P1/P1Q1PPBP/RN3RK1 b kq - 1 12,24,e80,b6a6,21,38,b6a6,0.0421,0.0384,0.0369,0.0442,c6c5,b6c7,b6c7,c6c5,111.0,0.0442,0.0021,True,elite,1,queen,False,False,True,False,middlegame,True
r1bq1rk1/pp4b1/2n4p/3p1pp1/8/1N2PBB1/P4PPP/2RQ1RK1 b - - 1 18,36,e82,g8h8,1,4,f5f4,0.0022,0.0041,0.0033,0.0012,c8e6,c8e6,c8e6,c8e6,133.0,0.0041,-0.001,True,elite,0,king,False,False,True,False,middlegame,False
7k/p7/1p6/2bR2p1/P3Np2/5B1P/5PPK/2r5 b - - 6 34,68,e82,a7a5,-491,43,c1c2,0.0269,0.0198,0.0154,0.0133,c1c4,c1c4,c1c2,c5e7,188.0,0.0269,-0.0136,True,elite,3,pawn,False,False,True,True,endgame,False
r6r/pb3qk1/1p1pBp2/2pP4/2PbR2B/8/PP1Q2PP/5R1K b - - 6 24,48,e85,f7e6,-648,57,f7h5,0.0043,0.0035,0.0026,0.002,f7g6,f7g6,f7g6,f7g6,116.0,0.0043,-0.0023,True,elite,3,queen,True,False,False,False,middlegame,False
2rqk1r1/1p2bp2/4b3/p2nPp1p/P1BP2pP/3N2B1/1P3QPK/2RR4 b - - 2 28,56,e87,c8c4,233,518,c8c4,0.0386,0.0329,0.03,0.0314,f5f4,e8f8,e8f8,e8f8,575.0,0.0386,-0.0072,True,elite,0,rook,True,False,False,False,middlegame,True
r3r1k1/1p2bppb/1qp1pn1p/p2p4/P3P3/1PPQ1NPP/1B1N1PB1/2R1R1K1 b - - 0 16,32,e88,f6e4,44,3,d5e4,0.0471,0.0443,0.0393,0.0304,d5e4,d5e4,d5e4,a8d8,190.0,0.0471,-0.0167,True,elite,2,knight,True,False,False,False,middlegame,False
5qk1/1p4p1/2p4p/Q7/2P1B3/6PP/p2N1P2/1b4K1 b - - 1 34,68,e88,b7b6,0,0,b1e4,0.0462,0.0312,0.0223,0.019,b1e4,b1e4,b1e4,b1e4,235.0,0.0462,-0.0272,True,elite,2,pawn,False,False,True,True,endgame,False
2rr2k1/4bppp/5n2/p2P4/qp2PB2/1RpN1P2/2Q3PP/1R4K1 b - - 1 30,60,e91,f6d5,438,24,e7f8,0.003,0.0024,0.002,0.0014,a4b5,a4b5,a4b5,a4b5,137.0,0.003,-0.0016,True,elite,7,knight,True,False,False,False,middlegame,False
4r1k1/4Rpb1/2qp2p1/3N4/7p/7P/1r3PPB/3Q1BK1 b - - 0 32,64,e94,e8c8,-345,11,e8b8,0.0142,0.0144,0.015,0.0164,e8e7,e8e7,e8e7,e8e7,445.0,0.0164,0.0022,True,elite,2,rook,False,False,True,False,middlegame,False
r1b1r1k1/1pqn1pbp/p2p1np1/3P4/P1p1PB2/2N2PN1/1P2B1PP/R2Q1R1K b - - 1 14,28,e95,h7h5,-7,1,a8b8,0.0194,0.0149,0.0122,0.0238,d7e5,d7e5,d7e5,d7e5,103.0,0.0238,0.0044,True,elite,1,pawn,False,False,True,True,middlegame,False
1k1r4/p3b1p1/7p/3p4/B3n3/P7/1P1p2PP/R4R1K b - - 1 34,68,e104,b8c7,153,6,e7f6,0.0097,0.0068,0.0042,0.0038,e7c5,e7c5,e7c5,e7c5,111.0,0.0097,-0.0059,True,elite,5,king,False,False,True,False,endgame,False
Q7/p6p/3p2pk/4p3/P1N1n3/2P4P/1P2rq2/1K1R4 b - - 0 26,52,e107,d6d5,534,277,d6d5,0.0147,0.0124,0.0137,0.018,e4c3,e4c3,e4c3,e4c3,534.0,0.018,0.0033,True,elite,5,pawn,False,False,True,True,endgame,True
5rk1/3q1rb1/1pp3np/p1p1pbp1/P4P2/1P1PNNP1/2P2Q1P/2B1R1RK b - - 3 30,60,e110,f5e6,285,19,e5f4,0.0181,0.013,0.0094,0.0088,e5f4,e5f4,e5f4,e5f4,108.0,0.0181,-0.0093,True,elite,0,bishop,False,False,True,False,middlegame,False
8/4p1bp/6p1/1n1k1p2/3P4/1NBK2P1/1P5P/8 b - - 4 34,68,e112,g7h8,125,16,h7h5,0.0005,0.0004,0.0004,0.0007,e7e5,e7e5,e7e5,e7e5,125.0,0.0007,0.0002,True,elite,4,bishop,False,False,True,False,endgame,False
1r3rk1/1ppq2p1/3ppn1p/p7/P2PP3/4R2P/1PQN1PP1/R5K1 b - - 2 18,36,e113,f8f7,-30,3,f8f7,0.0161,0.0186,0.0236,0.0289,d6d5,d6d5,c7c6,e6e5,119.0,0.0289,0.0128,True,elite,4,rook,False,False,True,False,middlegame,True
2b5/2q1bpk1/4p1p1/3r2P1/1p3P2/pP1BB1P1/P1PQ4/1K1R4 b - - 0 28,56,e116,e7f8,-15,2,c8a6,0.0062,0.0075,0.0088,0.01,c8a6,c8a6,c8a6,c8a6,250.0,0.01,0.0038,True,elite,0,bishop,False,False,True,False,middlegame,False
r1b1rbk1/1p3p2/1npp1qp1/3Pp2p/p3P3/P1P1NN2/BP1Q1PPP/3RR1K1 b - - 1 18,36,e118,e8d8,53,5,e8d8,0.0292,0.023,0.014,0.0084,f8h6,f8h6,f8h6,f8h6,213.0,0.0292,-0.0208,True,elite,0,rook,False,False,True,False,middlegame,True
r1b2b1r/p1p1k2p/2pp1p2/2q1p3/2P4P/1R3Q2/PP1N1PP1/R3KB2 b Q - 7 18,36,e120,f6f5,147,95,f6f5,0.0494,0.0377,0.0382,0.0461,f8h6,c8e6,c8e6,c8e6,240.0,0.0494,-0.0033,True,elite,0,pawn,False,False,True,True,middlegame,True
r6r/pRp1k2p/2ppbb2/2q1pp2/2P4P/6Q1/PP1N1PP1/1K1R1B2 b - - 7 22,44,e120,c5d4,115,100,e7d7,0.0085,0.0048,0.0024,0.0015,e7d7,e7d7,e7d7,e7d7,564.0,0.0085,-0.007,True,elite,5,queen,False,False,True,False,middlegame,False
5k2/3brp1p/1p3bp1/3P4/2B5/B6P/1r3PP1/4R1K1 b - - 3 26,52,e122,b6b5,509,4,b2c2,0.0281,0.0289,0.0314,0.0333,b2c2,b2c2,b2c2,b2b4,822.0,0.0333,0.0052,True,elite,7,pawn,False,False,True,True,middlegame,False
r1b2k1r/pp2qp2/3p4/2pP1Pb1/2P2Nnp/1QN3P1/PP3PB1/R3R1K1 b - - 2 18,36,e123,e7d8,-25,32,e7d8,0.029,0.0325,0.0319,0.0305,e7f6,e7f6,e7f6,e7f6,181.0,0.0325,0.0015,True,elite,0,queen,False,False,True,False,middlegame,True
r4rk1/3nQppp/8/4p1PN/3pPB2/pPqB1P2/b1P4P/N1KR2R1 b - - 1 22,44,e124,a2b3,0,205,a2b3,0.0144,0.0102,0.0083,0.0066,c3b2,c3b2,c3b2,c3b2,463.0,0.0144,-0.0078,True,elite,2,bishop,True,False,False,False,middlegame,True
4rr1k/4Qp1p/3R1P2/8/4P3/1n3q2/2N4P/1B2KR2 b - - 2 34,68,e124,f3h3,290,42,f3h3,0.0418,0.0319,0.0278,0.0241,f3c3,f3c3,f3c3,f3c3,124.0,0.0418,-0.0177,True,elite,5,queen,False,False,True,False,middlegame,True
1rb2rk1/2ppqpb1/2n3pp/2p1P2P/p1P5/P1B2NPB/1P2QP2/2KRR3 b - - 0 20,40,e127,d7d5,-61,81,g6g5,0.005,0.0039,0.0028,0.0022,g6g5,g6g5,g6g5,g6g5,114.0,0.005,-0.0028,True,elite,1,pawn,False,False,True,True,middlegame,False
4rrk1/ppp5/3p2q1/2PPn2p/1P2Npp1/P1Q2P2/4R1PP/3R3K b - - 1 30,60,e130,b7b6,-57,3,f8f7,0.0073,0.0045,0.003,0.0026,g4f3,g4f3,g4f3,g4f3,279.0,0.0073,-0.0047,True,elite,4,pawn,False,False,True,True,middlegame,False
r1bqk2r/1p1nppb1/2pp2p1/p5Pp/PnPPPP1P/2N1BN2/1P2B3/R2QK2R b KQkq - 2 12,24,e131,d6d5,-31,15,c6c5,0.0307,0.021,0.0152,0.011,b7b6,b7b6,b7b6,e7e5,144.0,0.0307,-0.0197,True,elite,1,pawn,False,False,True,True,middlegame,False
r2r2k1/5p2/3q1b1p/8/4p2P/pPp1B3/P3Q1R1/1K2R3 b - - 1 34,68,e132,g8h8,271,187,g8h7,0.0264,0.0237,0.0235,0.0337,g8f8,g8f8,g8f8,g8h7,212.0,0.0337,0.0073,True,elite,5,king,False,False,True,False,middlegame,False
r4rk1/pb1qb3/1p2p1p1/3pBp2/3P2n1/2PB1NQ1/PP3PP1/2KR3R b - - 0 20,40,e135,a8c8,-402,31,e7f6,0.0157,0.0103,0.0082,0.0078,g8f7,g8f7,e7f6,e7f6,135.0,0.0157,-0.0079,True,elite,6,rook,False,False,True,False,middlegame,False
r3r1k1/1p1q1pp1/2pp1n1p/p4b2/P1PBnN2/1P3B2/2P2PPP/R2QR1K1 b - - 0 16,32,e137,f5h7,-46,11,a8d8,0.0068,0.014,0.0222,0.0283,c6c5,c6c5,c6c5,c6c5,114.0,0.0283,0.0215,True,elite,1,bishop,False,False,True,False,middlegame,False
r3r1k1/1p1q1pp1/2pp1n1p/p4b2/P1PBnN2/1P3B2/2P2PPP/R2QR1K1 b - - 4 18,36,e137,f5h7,-44,7,a8d8,0.0068,0.014,0.0222,0.0283,c6c5,c6c5,c6c5,c6c5,115.0,0.0283,0.0215,True,elite,1,bishop,False,False,True,False,middlegame,False
4r2k/1pp1rqpb/pb1p1p1p/3P3N/3PPQPP/5B2/PP5K/3RR3 b - - 0 32,64,e141,c7c6,137,87,c7c6,0.0307,0.0232,0.0163,0.0101,h7g6,h7g6,h7g6,h7g6,133.0,0.0307,-0.0206,True,elite,0,pawn,False,False,True,True,middlegame,True
2bq1r1k/Q3b1pp/3p4/p2N2Pn/1p2PP2/8/PPP4P/1K1R1R2 b - - 1 22,44,e144,c8h3,-259,15,f8e8,0.0392,0.031,0.023,0.0275,f8e8,f8e8,f8e8,e7g5,258.0,0.0392,-0.0117,True,elite,6,bishop,False,False,True,False,middlegame,False
2b2r1k/4q1pp/3R4/Q3P1Pn/1p3P2/8/PPP4P/1K3R2 b - - 0 28,56,e144,e7g5,-363,31,c8h3,0.0055,0.0054,0.0054,0.0056,h5f4,h5f4,h5f4,h5f4,108.0,0.0056,0.0001,True,elite,6,queen,True,False,False,False,middlegame,False
2rqkb1r/1b1n1ppp/pn1p4/Np2pPP1/4P2P/P1N1B3/1PP5/R2QKB1R b KQk - 3 14,28,e145,c8c3,187,258,b7a8,0.0094,0.0073,0.0066,0.0064,b7a8,b7a8,b7a8,b7a8,255.0,0.0094,-0.003,True,elite,1,rook,True,False,False,False,middlegame,False
6r1/3kn2p/R2b1p2/2pp1p2/5P2/PP1PPN2/1BP2K1P/8 b - - 0 32,64,e146,g8f8,-399,5,c5c4,0.0299,0.0338,0.0333,0.037,e7c6,d7e6,d7e6,d7e6,147.0,0.037,0.0071,True,elite,6,rook,False,False,True,False,endgame,False
3q1rk1/N2nbpp1/3p4/4pb1p/2B5/4QP2/1PP3PP/R3K2R b KQ - 0 20,40,e149,e7h4,-11,1,e7h4,0.0451,0.0444,0.0483,0.0467,f5c2,f5c2,f5c2,f5c2,196.0,0.0483,0.0016,True,elite,5,bishop,False,True,False,False,middlegame,True
5rk1/Nq1n1pp1/R2p4/4pbbp/2B5/1Q3PP1/1PP4P/4K2R b K - 6 24,48,e149,d7b6,-8,106,d7b6,0.0022,0.0016,0.0017,0.0019,b7b3,b7b3,b7b3,b7b3,184.0,0.0022,-0.0003,True,elite,5,knight,False,False,True,False,middlegame,True
3rr1k1/bp3pp1/p1n5/3N3p/2P5/B3N2P/P4KP1/2RR4 b - - 0 30,60,e150,d8d5,29,329,d8d5,0.0084,0.0097,0.0148,0.0226,c6e5,c6e5,c6e5,c6e5,411.0,0.0226,0.0142,True,elite,2,rook,True,False,False,False,middlegame,True
r5r1/3qbk2/pPp1bp2/1p2p2p/1PPnP1pN/3PB1PP/1Q3P1K/R2R4 b - - 0 28,56,e152,c6c5,238,27,c6c5,0.021,0.0168,0.0148,0.0166,g4h3,g4h3,g4h3,g4h3,126.0,0.021,-0.0044,True,elite,0,pawn,False,False,True,True,middlegame,True
r2r3k/2pPNp1p/5Pp1/1pq5/4Q3/4R3/6PP/5RK1 b - - 2 34,68,e156,d8f8,-554,14,c7c6,0.001,0.0012,0.0014,0.0017,d8d7,d8d7,a8a4,a8a4,537.0,0.0017,0.0007,True,elite,3,rook,False,False,True,False,middlegame,False
