fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique
r1bq1r2/p3ppk1/2pp1np1/7p/4P2P/2N5/PPPQ1PP1/2KR1B1R b - - 1 12,24,T2025-09_3,c8e6,17,9,a8b8,0.0775,0.1139,0.1581,0.2033,c8g4,a8b8,a7a5,d8a5,4.0,0.2033,0.1258,False
1rb2r2/p3ppk1/2pp1np1/q6p/2B1P2P/2N2P2/PPPQ2P1/2KR3R b - - 2 14,28,T2025-09_3,f6d7,20,6,c8a6,0.0113,0.0169,0.0242,0.036,a5b4,a5b4,a5b4,a5b4,15.0,0.036,0.0247,False
1r3r2/p3ppk1/b2p1np1/q1p4p/4P1PP/1BN2P2/PPPQ4/2KR3R b - - 0 16,32,T2025-09_3,c5c4,144,72,c5c4,0.3038,0.4217,0.4709,0.3675,h5g4,h5g4,c5c4,h5g4,97.0,0.4709,0.0637,False
1r3r2/p3ppk1/b2p1np1/7p/Bqp1P1PP/1PN2P2/P1PQ4/2KR3R b - - 0 18,36,T2025-09_3,f8c8,203,108,f8c8,0.0205,0.02,0.024,0.0502,c4b3,c4b3,c4b3,c4b3,111.0,0.0502,0.0297,False
1rr5/p3ppk1/b2p1Pp1/7p/Bq2P2P/1pN2P2/P1PQ4/2KR3R b - - 0 20,40,T2025-09_3,e7f6,104,269,e7f6,0.5666,0.6471,0.7377,0.7768,e7f6,e7f6,e7f6,e7f6,0.0,0.7768,0.2102,False
1r6/p4pk1/b2p1pp1/7p/Bq1QP2P/1Pr2P2/2P5/2KR3R b - - 1 22,44,T2025-09_3,b4a3,448,161,b4a3,0.5584,0.5966,0.6075,0.6018,b4a3,b4a3,b4a3,b4a3,0.0,0.6075,0.0434,False
2r5/p4pk1/b2p1pp1/7p/B2QP2P/qPr2P2/2PR4/1K5R b - - 5 24,48,T2025-09_3,c8c7,263,50,a6d3,0.0195,0.018,0.0162,0.0188,c3f3,c3f3,c3f3,c3f3,32.0,0.0195,-0.0007,False
2r5/p4pk1/3p1pp1/1B5p/3QP2P/qPr2P2/2PR4/1KR5 b - - 0 26,52,T2025-09_3,c3b3,1998,2261,c3b3,0.4537,0.5452,0.5939,0.6065,c3b3,c3b3,c3b3,c3b3,0.0,0.6065,0.1528,False
r1bq1rk1/pp3ppp/2n1pn2/2pP4/1b1P4/2NBPN2/PP3PPP/R1BQ1RK1 b - - 0 8,16,T2025-09_4,e6d5,-45,9,e6d5,0.6866,0.6171,0.5824,0.6654,e6d5,e6d5,e6d5,e6d5,0.0,0.6866,-0.0212,False
r1bq1rk1/pp3ppp/2n2n2/2bp4/8/2NBPN1P/PP3PP1/R1BQ1RK1 b - - 0 10,20,T2025-09_4,d8e7,-37,0,a7a6,0.0098,0.0095,0.0122,0.0304,f8e8,f8e8,c8e6,c8e6,12.0,0.0304,0.0206,False
r1bqr1k1/1p3ppp/p1n2n2/2bp4/8/1PNBPN1P/PB3PP1/R2Q1RK1 b - - 2 12,24,T2025-09_4,d8e7,-49,10,d8e7,0.004,0.0039,0.005,0.013,b7b5,d5d4,d5d4,c8e6,7.0,0.013,0.009,False
r1b1r1k1/1p2qppp/p1n2n2/3p4/8/BPNBPN1P/P4PP1/2RQ1RK1 b - - 0 14,28,T2025-09_4,e7a3,-49,478,e7a3,0.9917,0.9969,0.9989,0.9996,e7a3,e7a3,e7a3,e7a3,0.0,0.9996,0.0079,False
r3r1k1/1p3ppp/p1n1bn2/3p4/8/qP2PN1P/P3NPP1/1BRQ1RK1 b - - 3 16,32,T2025-09_4,a8c8,-44,3,a8c8,0.1437,0.1546,0.1868,0.146,a8d8,a8d8,a8d8,a8d8,1.0,0.1868,0.0023,False
2r1r1k1/1p3pp1/p1n1bn1p/3p4/5N2/qP2PN1P/P2Q1PP1/1BR2RK1 b - - 1 18,36,T2025-09_4,f6e4,-40,2,f6e4,0.1449,0.1206,0.096,0.0905,a3d6,a3d6,a3d6,a3d6,12.0,0.1449,-0.0544,False
2r1r1k1/1p3pp1/p1n1bn1p/3p4/5N2/qP2PN1P/P1R2PP1/1B1Q1RK1 b - - 5 20,40,T2025-09_4,a3d6,-45,1,a3d6,0.1612,0.1939,0.1951,0.1639,c6b4,c6b4,c6b4,c6b4,1.0,0.1951,0.0027,False
4r1k1/1pr2pp1/p1nqbn1p/3p4/5N2/1P2PN1P/P2R1PP1/1B1QR1K1 b - - 9 22,44,T2025-09_4,e8c8,-43,0,e8c8,0.0923,0.1251,0.1645,0.2206,e8d8,c7d7,c7d7,e8c8,0.0,0.2206,0.1283,False
2r3k1/1prb1pp1/p1nq1n1p/3p1N2/5N2/1P2P2P/P2R1PP1/1B1QR1K1 b - - 13 24,48,T2025-09_4,d7f5,-24,13,d6e5,0.6906,0.7243,0.7231,0.7329,d7f5,d7f5,d7f5,d7f5,0.0,0.7329,0.0423,False
2r3k1/1prbnpp1/p4n1p/3pq3/3R1N2/1P2P1NP/P4PP1/1B1QR1K1 b - - 17 26,52,T2025-09_4,c7c1,-31,7,c7c1,0.3172,0.2679,0.231,0.1984,c7c1,c7c1,d7c6,d7c6,82.0,0.3172,-0.1188,False
6k1/1p1bnpp1/p4n1p/3pq3/3R1N2/1P2P1NP/P4PP1/1BR3K1 b - - 0 28,56,T2025-09_4,g7g6,-19,4,h6h5,0.0388,0.028,0.0194,0.024,e7c6,e7c6,e7c6,e7c6,2.0,0.0388,-0.0148,False
1q4k1/1p1bnpp1/p4n2/3p3p/3R4/1P2P1NP/P4PP1/1BR1N1K1 b - - 3 30,60,T2025-09_4,g7g6,-21,4,g7g5,0.1538,0.1609,0.1663,0.1742,e7c6,e7c6,e7c6,e7c6,1.0,0.1742,0.0204,False
1q4k1/1p1bnp2/p4n2/3p3p/3R2P1/1P2PNN1/P4PP1/1BR3K1 b - - 0 32,64,T2025-09_4,h5g4,-55,39,h5g4,0.721,0.7333,0.7697,0.8178,h5g4,h5g4,h5g4,h5g4,0.0,0.8178,0.0968,False
6k1/1p1bnp2/p2q1n2/3p4/5Rp1/1P2P1N1/P4PP1/1BR1N1K1 b - - 3 34,68,T2025-09_4,d6a3,-55,6,a6a5,0.0506,0.0324,0.0251,0.0251,e7g6,e7g6,e7g6,e7g6,59.0,0.0506,-0.0255,False
r1bqk2r/ppp2ppp/2nb4/4p3/8/2P2NP1/P1PP1PBP/R1BQ1RK1 b kq - 2 8,16,T2025-09_5,e8g8,-20,4,e8g8,0.6437,0.6299,0.6477,0.8082,e8g8,e8g8,e8g8,e8g8,0.0,0.8082,0.1645,False
r2q1rk1/ppp2ppp/2nb4/4p3/6b1/2PP1NPP/P1P2PB1/R1BQ1RK1 b - - 0 10,20,T2025-09_5,g4h5,7,3,g4h5,0.3385,0.5976,0.7441,0.7166,g4f3,g4h5,g4h5,g4h5,0.0,0.7441,0.3781,False
r2q1rk1/ppp2ppp/2nb2b1/4p1N1/6P1/2PP3P/P1P2PB1/R1BQ1RK1 b - - 2 12,24,T2025-09_5,d8d7,25,9,a8b8,0.0167,0.0229,0.0448,0.067,h7h6,h7h6,h7h6,h7h6,11.0,0.067,0.0503,False
1r3rk1/pppq1ppp/2nb2b1/4p1N1/6P1/2PPB2P/P1P2PB1/1R1Q1RK1 b - - 6 14,28,T2025-09_5,b7b6,27,11,b7b6,0.2008,0.1795,0.1668,0.2071,h7h6,h7h6,h7h6,h7h6,19.0,0.2071,0.0063,False
1r2r1k1/p1pq1ppp/1pnb2b1/4p1N1/6P1/2PPB2P/PQP2PB1/1R3RK1 b - - 3 16,32,T2025-09_5,c6e7,60,29,c6e7,0.0577,0.0816,0.116,0.1126,h7h6,h7h6,h7h6,h7h6,192.0,0.116,0.0549,False
1r2r1k1/p2qnppp/1ppb2b1/4p1N1/2P3P1/1Q1PB2P/P1P2PB1/1R3RK1 b - - 0 18,36,T2025-09_5,h7h6,117,5,d6c7,0.3332,0.4582,0.5224,0.517,h7h6,h7h6,h7h6,h7h6,0.0,0.5224,0.1838,False
1r2r1k1/p1bqn1pp/1pp2pb1/4p3/Q1P1N1P1/3PB2P/P1P2PB1/1R3RK1 b - - 1 20,40,T2025-09_5,f6f5,148,45,b8a8,0.0658,0.0537,0.0503,0.0469,a7a5,a7a5,a7a5,a7a5,66.0,0.0658,-0.0189,False
r2r2k1/p1bqn1pp/Qpp2pb1/4p3/2P3P1/3PB1NP/P1P2PB1/1R3RK1 b - - 5 22,44,T2025-09_5,f6f5,75,14,h7h6,0.1345,0.1517,0.1885,0.2071,c6c5,c6c5,f6f5,f6f5,0.0,0.2071,0.0726,False
