fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique
2r5/4npk1/R6p/6p1/2P1P3/1P6/1PK4b/8 b - - 1 30,60,C5quZV4A,h6h5,684,20,h2e5,0.0656,0.0595,0.0554,0.0582,g5g4,g5g4,g5g4,g5g4,2.0,0.0656,-0.0074,False
2r5/R3n1k1/5p1p/4b1p1/2P1P3/1P6/1PK5/8 b - - 1 32,64,C5quZV4A,g7f7,683,28,c8c7,0.3996,0.3945,0.3973,0.4108,g7f7,g7f7,g7f7,g7f7,0.0,0.4108,0.0112,False
8/2r1n1k1/5p2/4b1pp/2P1P3/1P6/RPK5/8 b - - 1 34,68,C5quZV4A,h5h4,727,17,h5h4,0.6419,0.6693,0.691,0.6935,h5h4,h5h4,h5h4,h5h4,0.0,0.6935,0.0516,False
rnbk3r/ppp2Bpp/3b1n2/4p3/4P3/2N2N2/PPP2PPP/R1B1K2R b KQ - 3 8,16,9GbKmhBS,c7c6,-165,5,b8c6,0.0596,0.058,0.0521,0.0716,h8f8,d8e7,d8e7,d8e7,14.0,0.0716,0.012,False
r1b4r/ppp1k1pp/2nb1n2/4p1B1/4P3/1BN2N2/PPP2PPP/R3K2R b KQ - 7 10,20,9GbKmhBS,c6a5,-190,10,h7h6,0.0108,0.0114,0.0138,0.0178,c8e6,c8e6,c8e6,c8e6,1.0,0.0178,0.007,False
r1b2k1r/ppp3p1/2nb1B1p/3Np3/4P3/1B3N2/PPP2PPP/R3K2R b KQ - 0 12,24,9GbKmhBS,g7f6,-313,143,g7f6,0.9369,0.9562,0.959,0.9571,g7f6,g7f6,g7f6,g7f6,0.0,0.959,0.0202,False
r1b2k1r/ppp1n3/3b1N1p/4p3/4P3/1B3N2/PPP2PPP/2KR3R b - - 2 14,28,9GbKmhBS,f8g7,-249,41,c8g4,0.174,0.2346,0.3191,0.4382,e7g6,f8g7,f8g7,f8g7,0.0,0.4382,0.2642,False
r1b1k1nr/pp3ppp/1qn1p3/2pp4/3P1P2/2PB1N2/PP1Q1PPP/RN2K2R b KQkq - 4 8,16,tgsfs1V1,c5d4,45,30,c8d7,0.3085,0.4243,0.5569,0.5547,c5d4,c5d4,c5d4,c5d4,0.0,0.5569,0.2462,False
r3k1nr/pp1b1ppp/1qn1p3/3p4/3P1P2/3B1N2/PP1Q1PPP/RN3RK1 b kq - 0 10,20,tgsfs1V1,c6d4,96,83,c6d4,0.8702,0.8954,0.9099,0.9149,c6d4,c6d4,c6d4,c6d4,0.0,0.9149,0.0447,False
r3k1nr/pp1b1ppp/4p3/3p4/3q1P2/2NB4/PP1Q1PPP/R4RK1 b kq - 1 12,24,tgsfs1V1,d4b6,120,6,a7a6,0.0207,0.0351,0.0562,0.0622,g8f6,g8f6,g8f6,g8f6,-3.0,0.0622,0.0415,False
r3k2r/1p1b1ppp/p3pn2/3p4/3q1P2/2NB2P1/PP1Q1P1P/R3R1K1 b kq - 0 14,28,tgsfs1V1,d4b6,132,15,e8g8,0.0297,0.0562,0.0911,0.0906,e8g8,e8g8,e8g8,e8g8,674.0,0.0911,0.0609,False
rn1qk2r/pbppbpQp/1p2p3/4P3/3P4/2n5/PPP2PPP/R1B1KBNR b KQkq - 0 8,16,HthOEeAT,h8f8,-61,328,h8f8,0.8354,0.8917,0.9008,0.8669,h8f8,h8f8,h8f8,h8f8,0.0,0.9008,0.0315,False
rn1qkr2/pbp1bpQp/1p1pp2B/4P3/3P4/2P5/P1P2PPP/R3KBNR b KQq - 1 10,20,HthOEeAT,d6e5,-128,35,d6e5,0.5146,0.4959,0.4558,0.4138,d6e5,d6e5,d6e5,d6e5,0.0,0.5146,-0.1008,False
rn1qkr2/pbp1bp1Q/1p2p2B/8/3p4/2P5/P1P2PPP/3RKBNR b Kq - 1 12,24,HthOEeAT,b8d7,-66,72,d8d6,0.1407,0.1803,0.1903,0.1724,b8d7,b8d7,c7c5,c7c5,133.0,0.1903,0.0317,False
rn2kB2/pbp1bp1Q/1p2p3/4q3/3p4/2P5/P1P1NPPP/3RKB1R b Kq - 2 14,28,HthOEeAT,e7f8,-136,92,e7f8,0.9154,0.9262,0.9181,0.9014,e7f8,e7f8,e7f8,e7f8,0.0,0.9262,-0.014,False
rn2kb2/pbp2p1Q/1p2p3/q7/3P4/8/P1PRNPPP/4KB1R b Kq - 2 16,32,HthOEeAT,b8d7,0,51,b8d7,0.0538,0.081,0.1033,0.1184,a5a2,a5a2,a5a2,a5a2,77.0,0.1184,0.0646,False
2kr1b2/pbpn1p2/1p2p3/q7/3P1N2/3Q4/P1PR1PPP/4KB1R b K - 6 18,36,HthOEeAT,d7c5,334,91,d7e5,0.0405,0.0428,0.0408,0.0384,a5a2,a5a2,a5a2,a5a2,193.0,0.0428,-0.0021,True
2k2b2/pbp2p2/1p2p3/q3n3/3r1N2/1QP5/P2R1PPP/4KB1R b K - 0 20,40,HthOEeAT,d4f4,498,16,d4f4,0.4147,0.4928,0.5746,0.6004,d4f4,d4f4,d4f4,d4f4,0.0,0.6004,0.1857,False
2k5/pbp2p2/1p2p3/q1b1n3/5r2/2P2P2/P2R2PP/3QKB1R b K - 2 22,44,HthOEeAT,a5c3,652,24,c5d6,0.3258,0.2784,0.2427,0.1801,a5c3,a5c3,b7d5,b7d5,99.0,0.3258,-0.1457,False
2k5/pbp2p2/1p1bp3/4n3/5r2/2q2P2/P2RB1PP/3Q1RK1 b - - 1 24,48,HthOEeAT,c3c5,530,24,f4h4,0.0981,0.1214,0.1144,0.0918,d6c5,d6c5,c3e3,c3e3,13.0,0.1214,-0.0063,False
2k5/pbp2p2/1p1bp3/4n3/3q3r/5P2/P1R1B1PP/3Q1R1K b - - 5 26,52,HthOEeAT,h4h2,1997,1270,d4d1,0.1842,0.2234,0.2578,0.3872,d4f4,d4f4,d4f4,h4h2,0.0,0.3872,0.203,False
r2qkb1r/pp2pppp/3p1n2/1Bp1n3/4P3/P1PP1Q2/1P3PPP/RNB1K2R b KQkq - 2 8,16,Iir6SZ64,f6d7,-72,12,f6d7,0.625,0.6644,0.7662,0.8723,f6d7,f6d7,f6d7,f6d7,0.0,0.8723,0.2473,False
r2qkb1r/1p1npppp/p2p4/2p1n3/B3P3/P1PP4/1P2QPPP/RNB1K2R b KQkq - 1 10,20,Iir6SZ64,g7g6,-71,7,b7b5,0.0498,0.0374,0.0367,0.0728,b7b5,b7b5,b7b5,b7b5,8.0,0.0728,0.023,False
r2qkb1r/3npp1p/p2p2p1/1pp1n3/3PP3/P1P5/1PB1QPPP/RNB1K2R b KQkq - 0 12,24,Iir6SZ64,c5d4,41,98,c5d4,0.7668,0.8672,0.921,0.9292,c5d4,c5d4,c5d4,c5d4,0.0,0.9292,0.1624,False
r2qkb1r/3npp1p/p2p2p1/1p6/2nPP3/PP6/2B1QPPP/RNB1K2R b KQkq - 0 14,28,Iir6SZ64,c4a5,-19,42,c4b6,0.0991,0.0546,0.0398,0.0389,c4b6,c4b6,c4b6,c4b6,44.0,0.0991,-0.0602,False
r2qk2r/3nppbp/pn1p2p1/1p6/3PP3/PP6/1BBNQPPP/R3K2R b KQkq - 4 16,32,Iir6SZ64,e7e5,-12,1,e8g8,0.0887,0.0692,0.0491,0.0273,e8g8,e8g8,a8c8,a8c8,1.0,0.0887,-0.0614,False
r2q1rk1/4ppbp/pn1p1np1/1p2P3/3P4/PP6/1BBNQPPP/R4RK1 b - - 0 18,36,Iir6SZ64,f6d5,19,39,d6e5,0.1554,0.1303,0.113,0.1442,d6e5,d6e5,d6e5,d6e5,43.0,0.1554,-0.0112,False
r2q1rk1/4ppbp/pn4p1/1p1nP3/8/PP6/1BBNQPPP/3R1RK1 b - - 2 20,40,Iir6SZ64,a8c8,-21,18,d8c7,0.1779,0.1567,0.1572,0.1771,e7e6,d8c7,d8c7,d8c7,37.0,0.1779,-0.0008,False
r4rk1/2q2pbp/pn2p1p1/1p1nP3/8/PP3NP1/1BB1QP1P/3R1RK1 b - - 0 22,44,Iir6SZ64,d5c3,26,28,a8c8,0.2064,0.212,0.1875,0.1818,a8c8,a8c8,a8c8,a8c8,42.0,0.212,-0.0246,False
2r2rk1/2q2pbp/1n2p1p1/pp1nP3/8/PP3NP1/1B2QP1P/1BR2RK1 b - - 1 24,48,Iir6SZ64,c7d7,-19,23,c7d7,0.3205,0.3161,0.2747,0.2297,c7b7,c7b7,c7b7,c7b7,27.0,0.3205,-0.0908,False
2r3k1/3q1pbp/1n2p1p1/pp1nP3/3N4/PP4P1/1B2QP1P/1B3RK1 b - - 1 26,52,Iir6SZ64,b5b4,64,19,b5b4,0.3691,0.3848,0.3927,0.3499,b5b4,b5b4,b5b4,d5c3,39.0,0.3927,-0.0192,False
2r3k1/3q1pbp/1n2p1p1/p3P3/Pp1N4/1PB3P1/4QP1P/1B3RK1 b - - 0 28,56,Iir6SZ64,b4c3,189,83,c8c3,0.5559,0.4612,0.4026,0.3558,b4c3,c8c3,c8c3,c8c3,57.0,0.5559,-0.2001,False
6k1/3q1pbp/4p1p1/p2nP3/Pp1NB3/1Pr3P1/4QP1P/3R2K1 b - - 3 30,60,Iir6SZ64,c3c5,49,57,g7e5,0.0222,0.0204,0.0154,0.0112,g7e5,g7e5,g7e5,g7e5,68.0,0.0222,-0.011,False
6k1/3q1p1p/4p1B1/pNrnb3/Pp6/1P4P1/4QP1P/3R2K1 b - - 0 32,64,Iir6SZ64,h7g6,457,482,h7g6,0.5906,0.6421,0.7172,0.8076,h7g6,h7g6,h7g6,h7g6,0.0,0.8076,0.217,False
6k1/4qp2/4p1p1/pNrn4/Pp1Q4/1P4P1/5P1P/3R2K1 b - - 2 34,68,Iir6SZ64,e6e5,66,31,c5c2,0.0714,0.052,0.0466,0.0476,d5c3,d5c3,d5c3,d5c3,32.0,0.0714,-0.0238,False
r2q1rk1/ppp2ppp/2npbn2/4p3/1bP5/1QN1P1P1/PP1PNPBP/R1B2RK1 b - - 3 8,16,OSgQLUUM,b4c3,9,38,h7h6,0.1599,0.1607,0.161,0.1661,a7a5,a7a5,a7a5,a8b8,63.0,0.1661,0.0062,False
rn1qk2r/1bppnpp1/pp2p2p/8/1bPPP3/1QNB1N2/PP3PPP/R1B2RK1 b kq - 3 8,16,pz17oEmx,b4c3,-118,20,b4c3,0.4962,0.654,0.7587,0.8444,b4c3,b4c3,b4c3,b4c3,0.0,0.8444,0.3482,False
rn1qk2r/1bp1npp1/pp1pp2p/8/1PPPP3/2QB1N2/P4PPP/R1B2RK1 b kq - 0 10,20,pz17oEmx,b8d7,-121,4,b8d7,0.7186,0.7426,0.7839,0.8302,b8d7,b8d7,b8d7,b8d7,0.0,0.8302,0.1116,False
r2qk2r/1bpnnpp1/p2pp2p/2P5/3PP3/2QB1N2/P4PPP/R1B2RK1 b kq - 0 12,24,pz17oEmx,d7f6,-119,3,e8g8,0.0327,0.0445,0.0523,0.0612,d6c5,d6c5,d6c5,d6c5,64.0,0.0612,0.0285,False
r2q1rk1/1b1nnpp1/p2pp2p/8/3PP3/B1QB1N2/P4PPP/R4RK1 b - - 1 14,28,pz17oEmx,d7f6,-91,30,d6d5,0.2024,0.3394,0.4785,0.576,a8c8,d7f6,d7f6,d7f6,0.0,0.576,0.3736,False
r2q1rk1/1Q1nnpp1/p3p2p/8/3Pp3/B2B1N2/P4PPP/R4RK1 b - - 0 16,32,pz17oEmx,e4f3,-39,98,e4d3,0.258,0.321,0.3698,0.3975,e4d3,e4d3,e4d3,e4d3,82.0,0.3975,0.1395,False
r2q1rk1/1Q2Bpp1/p3p2p/4n3/3P4/3p4/P4PPP/R4RK1 b - - 0 18,36,pz17oEmx,d8d4,148,68,d8d7,0.6859,0.7317,0.7855,0.8292,d8d4,d8d4,d8d4,d8d4,0.0,0.8292,0.1433,False
r4Bk1/3n1pp1/p3p2p/8/3P4/3p4/P4PPP/R4RK1 b - - 0 20,40,pz17oEmx,a8f8,-287,4,g8f8,0.3821,0.4369,0.3844,0.2256,a8f8,a8f8,g8f8,g8f8,5.0,0.4369,-0.1565,False
r4k2/5pp1/pn2p2p/8/3P4/3R4/P4PPP/R5K1 b - - 0 22,44,pz17oEmx,b6d5,-289,75,b6d5,0.4957,0.6314,0.6742,0.5951,b6d5,b6d5,b6d5,b6d5,0.0,0.6742,0.0994,False
r4k2/5pp1/4p2p/p2n4/3P4/3R4/P4PPP/1R3K2 b - - 1 24,48,pz17oEmx,g7g5,-300,6,f8e7,0.0902,0.0582,0.0349,0.0174,d5b4,d5b4,f8e7,f8e7,120.0,0.0902,-0.0728,False
r4k2/1R3pp1/4p2p/p2n4/3P4/5R2/P4PPP/5K2 b - - 5 26,52,pz17oEmx,f7f5,-447,10,f7f5,0.2189,0.1956,0.1725,0.1649,f7f6,f7f6,f7f6,f7f6,21.0,0.2189,-0.054,False
r4k2/1R6/4p1pp/p2n1P2/3P4/5R2/P4P1P/5K2 b - - 0 28,56,pz17oEmx,g6f5,-446,11,g6f5,0.4217,0.4401,0.4976,0.5805,e6f5,e6f5,e6f5,g6f5,0.0,0.5805,0.1588,False
4rk2/1R6/4p2R/p2n1p2/3P4/8/P4P1P/5K2 b - - 0 30,60,pz17oEmx,e8e7,-553,11,f8g8,0.1982,0.2018,0.1817,0.1291,f8g8,f8g8,f8g8,f8g8,8.0,0.2018,-0.0691,False
4r1k1/1R3R2/4pn2/p4p2/3P4/8/P4P1P/5K2 b - - 4 32,64,pz17oEmx,f6d5,-570,2,f6g4,0.149,0.1743,0.1905,0.1865,f6h5,f6h5,f6h5,f6h5,11.0,0.1905,0.0375,False
4r2k/1R5R/4p3/p4p2/3P2n1/8/P4P1P/5K2 b - - 8 34,68,pz17oEmx,h8g8,-585,0,h8g8,1.0,1.0,1.0,1.0,h8g8,h8g8,h8g8,h8g8,0.0,1.0,0.0,False
r3kbnr/pppq2pp/2npb3/4p3/4P3/2N1BN2/PPPQ1PPP/2KR1B1R b kq - 7 8,16,lyNI9CYl,g8f6,-70,9,h7h6,0.0451,0.0573,0.0891,0.1271,e8c8,e8c8,e8c8,e8c8,116.0,0.1271,0.082,False
r3kb1r/pppq2p1/2npbn1p/4p3/4P3/2N1BP2/PPPQ2PP/2KRNB1R b kq - 0 10,20,lyNI9CYl,e8c8,-66,10,f8e7,0.6821,0.6167,0.5976,0.6503,e8c8,e8c8,e8c8,e8c8,0.0,0.6821,-0.0318,False
r4rk1/pppqb1p1/2npbn1p/4p3/4P1P1/2NNBP2/PPPQ3P/2KR1B1R b - - 0 12,24,lyNI9CYl,d7e8,-68,13,f6h7,0.0139,0.0158,0.0117,0.0099,d6d5,f6h7,f6h7,f6h7,-14.0,0.0158,-0.004,False
r2q1rk1/ppp1b1pn/2npb2p/4p3/4P1P1/3NBP2/PPPQN1BP/2KR3R b - - 4 14,28,lyNI9CYl,e7g5,14,9,a7a6,0.3019,0.3229,0.3223,0.292,e7g5,e7g5,e7g5,e7g5,0.0,0.3229,-0.0099,False
r2q1rk1/2p1b1pn/p1npb2p/1p2pN2/4P1P1/3NBP2/PPPQ2BP/2KR3R b - - 1 16,32,lyNI9CYl,e6a2,-187,4,e6f5,0.1551,0.1321,0.111,0.0996,e6f5,e6f5,e6f5,e6f5,69.0,0.1551,-0.0555,False
r2q1r1k/2p1b1pn/p1np3p/1p2pP2/4P3/3NBP2/PPPQ2BP/1K1R3R b - - 2 18,36,lyNI9CYl,d8e8,-151,7,c6a5,0.009,0.0096,0.0134,0.0293,e7g5,e7g5,e7g5,e7g5,16.0,0.0293,0.0203,False
r2q1r1k/2p1b1pn/p2p3p/1p2pP2/1Nn1P3/4BP2/PPP1Q1BP/1K1R3R b - - 6 20,40,lyNI9CYl,c4e3,-19,41,c4e3,0.3849,0.4181,0.433,0.4048,c4e3,c4e3,c4e3,c4e3,0.0,0.433,0.0199,False
r2q1r1k/2p3pn/p2p3p/1p2pPb1/1N2P3/5P2/PPP1Q1BP/1K1R3R b - - 2 22,44,lyNI9CYl,c7c5,21,42,a6a5,0.3176,0.3098,0.2856,0.2224,c7c5,c7c5,c7c5,d8d7,132.0,0.3176,-0.0952,False
r2q1r1k/6pn/2pp3p/pp2pPb1/4P3/4NP2/PPP1Q1BP/1K1R3R b - - 1 24,48,lyNI9CYl,a5a4,111,17,d8e7,0.2625,0.2943,0.2825,0.2492,g5e3,a5a4,a5a4,a5a4,0.0,0.2943,-0.0133,False
r4r1k/4q1pn/2pp3p/1p2pPb1/p3P1N1/5P2/PPP2QBP/1K1R3R b - - 1 26,52,lyNI9CYl,h6h5,209,3,b5b4,0.06,0.0324,0.0194,0.0203,h7f6,h7f6,b5b4,h7f6,110.0,0.06,-0.0397,False
r4r1k/4q1pn/2pp3p/4pP2/pp2PbNP/5P2/PPP2Q2/1K1R1B1R b - - 2 28,56,lyNI9CYl,h6h5,206,63,b4b3,0.0705,0.0428,0.0245,0.0216,b4b3,b4b3,b4b3,b4b3,114.0,0.0705,-0.0489,False
r4r1k/4q1pn/2pp3p/4pP2/p3PbNP/P4P2/1PQ5/1K1R1B1R b - - 0 30,60,lyNI9CYl,a8b8,49,14,a8b8,0.0412,0.0264,0.0218,0.028,c6c5,c6c5,c6c5,c6c5,172.0,0.0412,-0.0132,True
5r1k/4q1pn/1rpp3p/4pP2/p1B1PbNP/P2Q1P2/1P6/1K1R3R b - - 4 32,64,lyNI9CYl,d6d5,302,31,c6c5,0.0307,0.0205,0.0186,0.0225,f8b8,f8b8,f8b8,f8b8,-20.0,0.0307,-0.0082,False
1r5k/4q1pn/1r1p3p/2p1pP2/p1B1PbNP/P2Q1P2/1P2R3/1K5R b - - 3 34,68,lyNI9CYl,e7b7,-109,21,e7b7,0.1147,0.0799,0.0567,0.0428,h7f6,h7f6,h7f6,h7f6,51.0,0.1147,-0.0719,False
rnb2rk1/pp1pqpp1/2pb1n1p/4p3/2BPP3/2N1BN2/PPP2PPP/R2QR1K1 b - - 3 8,16,FAcxw1X4,f6g4,-123,123,d6c7,0.0501,0.0673,0.0737,0.0936,b7b5,b7b5,d6c7,d6c7,155.0,0.0936,0.0435,False
rnb2rk1/pp1pqpp1/2p2n1p/4N3/2B1P3/2N1B3/PPP2PPP/R2QR1K1 b - - 0 10,20,FAcxw1X4,e7e5,-336,87,e7e5,0.9922,0.9981,0.9993,0.9997,e7e5,e7e5,e7e5,e7e5,0.0,0.9997,0.0075,False
rnb2rk1/pp1pqpp1/2p2n1p/4P3/2BB4/2N5/PPP2PPP/R2QR1K1 b - - 0 12,24,FAcxw1X4,f6e8,-395,34,f6h7,0.1559,0.129,0.1071,0.1516,f6d5,f6h7,f6h7,f6h7,31.0,0.1559,-0.0043,False
rnb2rk1/pp2qppn/2p4p/3pP2Q/3B4/2NB4/PPP2PPP/R3R1K1 b - - 1 14,28,FAcxw1X4,e7g5,-118,45,c8e6,0.2839,0.4395,0.5082,0.4738,e7g5,e7g5,e7g5,e7g5,0.0,0.5082,0.1899,False
rn3rk1/pp2qppn/4b2p/2ppP2Q/5P2/2NB4/PPP2BPP/R3R1K1 b - - 1 16,32,FAcxw1X4,c5c4,-267,6,f7f5,0.2534,0.2829,0.2898,0.2391,d5d4,c5c4,c5c4,f7f5,219.0,0.2898,-0.0143,False
rn3rk1/pp3qpn/4b2p/2ppPp2/5P1B/2NB1Q2/PPP3PP/R3R1K1 b - - 3 18,36,FAcxw1X4,b8c6,-148,1,c5c4,0.2345,0.2411,0.2933,0.4576,c5c4,c5c4,c5c4,b8c6,0.0,0.4576,0.2231,False
r4rk1/pp3qpn/2n1b2p/1N1pPp2/2p2P1B/5Q2/PPP3PP/R3RBK1 b - - 3 20,40,FAcxw1X4,g7g5,-177,63,a7a6,0.2044,0.1837,0.1784,0.1952,a7a6,a7a6,f7d7,f7d7,66.0,0.2044,-0.0092,False
r4rk1/1p1q2pn/p1nNb2p/3pPp2/2p2P1B/2P2Q2/PP4PP/R3RBK1 b - - 0 22,44,FAcxw1X4,g7g5,-194,20,b7b5,0.3148,0.262,0.2849,0.3339,g7g5,b7b5,b7b5,b7b5,33.0,0.3339,0.0191,False
rr4k1/3q2pn/p1nNb2p/1p1pPp2/2p2P1B/P1P2Q2/1P4PP/3RRBK1 b - - 2 24,48,FAcxw1X4,h7f8,-259,7,h7f8,0.1176,0.1212,0.1331,0.1806,g7g5,c6e7,c6e7,c6e7,37.0,0.1806,0.063,False
rr3nk1/3q2p1/2nNb2p/pp1pPp1Q/2p2P1B/P1P4P/1P4P1/3RRBK1 b - - 0 26,52,FAcxw1X4,g8h7,-151,126,b5b4,0.0783,0.1153,0.1303,0.1469,b5b4,b5b4,b5b4,b5b4,144.0,0.1469,0.0686,False
rr3nk1/3q2p1/2nNb2p/3pPp1Q/1pp2P1B/2P4P/1P1R2P1/4RBK1 b - - 1 28,56,FAcxw1X4,a8a2,-24,47,b4c3,0.0298,0.0264,0.0264,0.0336,b4c3,b4c3,b4c3,b4c3,60.0,0.0336,0.0038,False
r4nk1/3q2p1/2nNb2p/3pPp1Q/2p2P1B/1rP1R2P/3R2P1/5BK1 b - - 2 30,60,FAcxw1X4,g8h7,42,22,a8a3,0.0342,0.051,0.0611,0.0711,a8a3,a8a3,a8a3,a8a3,78.0,0.0711,0.0369,False
5nk1/q5p1/2nNb2p/3pPp2/2p2P1B/rrP1RQ1P/3R2PK/5B2 b - - 6 32,64,FAcxw1X4,d5d4,202,142,f8d7,0.0985,0.0951,0.0886,0.0738,a3a2,f8g6,f8g6,f8g6,202.0,0.0985,-0.0247,False
6k1/q5p1/2nNb2p/2npPP2/2p2P1B/rrP1RQ1P/3R3K/5B2 b - - 0 34,68,FAcxw1X4,d5d4,-342,26,c5e4,0.0902,0.093,0.0967,0.0845,e6f7,e6f7,e6f7,e6f7,130.0,0.0967,-0.0057,False
rnbqk2r/pp1pbp1p/4p1p1/3nP3/3N2Q1/2PB4/PP3PPP/RNB1K2R b KQkq - 0 8,16,pA80THFn,d7d6,-22,25,b8c6,0.173,0.1892,0.1638,0.1472,e8g8,b8c6,b8c6,b8c6,24.0,0.1892,-0.0258,False
r1bqk2r/pp2bp1p/2nPp1p1/3n4/6Q1/2PB1N2/PP3PPP/RNB1K2R b KQkq - 0 10,20,pA80THFn,d8d6,74,74,e7d6,0.3944,0.5125,0.6277,0.7182,e7d6,d8d6,d8d6,d8d6,0.0,0.7182,0.3238,False
r1bqk2r/pp3p1p/2nb2pB/3np3/Q7/2PB1N2/PP3PPP/RN2K2R b KQkq - 1 12,24,pA80THFn,d6f8,30,6,d5b6,0.0737,0.0752,0.0672,0.1043,c8d7,c8d7,c8d7,c8d7,24.0,0.1043,0.0306,False
r2qk2r/pp3p1p/1nnbb1pB/4p3/P7/2PB1N2/1PQ2PPP/RN2K2R b KQkq - 0 14,28,pA80THFn,d6f8,15,28,b6c4,0.0973,0.108,0.1169,0.164,d8f6,d8f6,d8f6,d6f8,0.0,0.164,0.0667,False
r2qk2r/pp3p1p/2nbb1pB/n3p3/P7/1PPB1N2/2QN1PPP/R3K2R b KQkq - 2 16,32,pA80THFn,d6f8,-115,61,f7f5,0.0955,0.1138,0.1214,0.1441,d8b6,d8b6,d8b6,d8e7,116.0,0.1441,0.0486,False
r2qk2r/pp5p/2nbN1pB/n4p2/P3p3/1PPB4/2QN1PPP/R3K2R b KQkq - 0 18,36,pA80THFn,e4d3,-190,148,d8e7,0.236,0.3337,0.4845,0.6361,d8e7,d8e7,e4d3,e4d3,0.0,0.6361,0.4001,False
r6r/pp1kq1Np/2nb2pB/nB3p2/P3p3/1PP5/2QN1PPP/R3K2R b KQ - 4 20,40,pA80THFn,a8c8,-363,8,e4e3,0.0602,0.0681,0.0716,0.0803,a7a6,a7a6,a7a6,a7a6,12.0,0.0803,0.0201,False
r6r/1p1kq1Np/p1nb2pB/n4p2/P7/1PPBP3/2QN2PP/R3K2R b KQ - 1 22,44,pA80THFn,e7h4,27,404,c6e5,0.2874,0.3449,0.3895,0.4179,e7h4,e7h4,e7h4,e7h4,0.0,0.4179,0.1305,False
r6r/1p1kq1Np/p2b2pB/n4p2/P5B1/1PP1P3/2QN2PP/R3K2R b KQ - 0 24,48,pA80THFn,e7h4,-414,68,f5g4,0.1078,0.1394,0.1836,0.2722,f5g4,f5g4,f5g4,f5g4,65.0,0.2722,0.1644,False
r6r/1p1k2Np/p2b2p1/n7/P4Bpq/1PP1P3/2QN2PP/R4RK1 b - - 3 26,52,pA80THFn,d6f4,-505,84,d6f4,0.2854,0.3277,0.3135,0.3113,d6f4,d6f4,d6f4,d6f4,0.0,0.3277,0.0259,False
