fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique
rn2kb1r/1pq2ppp/p2pbn2/8/4PBP1/1NN5/PPP1B2P/R2QK2R b KQkq - 0 10,20,C5quZV4A,h7h6,-121,34,b8d7,0.1551,0.2099,0.2644,0.2854,f8e7,f8e7,h7h6,h7h6,0.0,0.2854,0.1303,False
r3kbnr/1pqn1ppp/p2pb3/6P1/4PB2/1NN5/PPPQB2P/R3K2R b KQkq - 2 12,24,C5quZV4A,h7h6,-159,36,d7c5,0.0719,0.0526,0.0323,0.0198,g8e7,d7e5,d7e5,d7e5,74.0,0.0719,-0.0521,False
3rkbnr/1pq2ppp/p2pb3/2n3P1/4PB2/1NN5/PPPQB2P/1K1R3R b k - 6 14,28,C5quZV4A,g8e7,-279,0,g8e7,0.0716,0.0776,0.0937,0.1663,c5b3,c5b3,c5b3,c5b3,0.0,0.1663,0.0947,False
3rkb1r/1pq1nppp/p2Bb3/6P1/4P3/1PN5/1PPQB2P/1K1R3R b k - 0 16,32,C5quZV4A,c7c6,-219,98,c7c6,0.1701,0.1859,0.1997,0.2637,d8d6,d8d6,d8d6,d8d6,120.0,0.2637,0.0936,False
3rkb1r/1p2nppp/p2qbN2/6P1/4P3/1P6/1PPQB2P/1K1R3R b k - 1 18,36,C5quZV4A,g7f6,335,0,g7f6,1.0,1.0,1.0,1.0,g7f6,g7f6,g7f6,g7f6,0.0,1.0,0.0,False
4kb1r/1p2np1p/p2Rbp2/6P1/4P3/1P6/1PP1B2P/1K5R b k - 0 20,40,C5quZV4A,e7c6,377,43,f6g5,0.036,0.0395,0.0362,0.0338,f6g5,f6g5,f6g5,f6g5,11.0,0.0395,-0.0022,False
2b1kb1r/1p2np1p/pR6/6p1/4P3/1P6/1PP1B2P/1K4R1 b k - 3 22,44,C5quZV4A,e7c6,372,21,h7h6,0.1062,0.1075,0.0862,0.0647,h7h6,h7h6,h7h6,h7h6,99.0,0.1075,-0.0415,False
2B1k2r/1p2npb1/pR5p/6p1/4P3/1P6/1PP4P/1K4R1 b k - 0 24,48,C5quZV4A,g7d4,411,133,g7d4,0.0034,0.0031,0.0034,0.0045,e7c8,e7c8,e7c8,e7c8,139.0,0.0045,0.0011,True
1RB1k2r/4np2/p6p/6p1/4P3/1P6/1PP4P/1K4b1 b k - 1 26,52,C5quZV4A,e8g8,622,58,e8g8,0.1691,0.2518,0.3456,0.3275,e7c8,e7c8,e7c8,e7c8,1051.0,0.3456,0.1584,False
2r3k1/4np2/R6p/6p1/4P3/1P6/1PP4P/1K4b1 b - - 0 28,56,C5quZV4A,c8c6,622,19,g8g7,0.0097,0.0092,0.0099,0.0127,g1h2,g1h2,g1h2,g1h2,27.0,0.0127,0.003,False
