fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique
r2q1r2/2pb2Nk/pp1p2np/3Ppp2/4P2P/P1P1BP2/1P1Q1K2/5NRR b - - 0 22,44,tKbAFykI,f5f4,-192,156,h7g7,0.1883,0.3868,0.5783,0.6679,h7g7,h7g7,f5f4,f5f4,0.0,0.6679,0.4796,False
r2q1B2/2pb3k/pp1p2n1/3Ppp2/4P2P/P1P2P2/1P1Q1K2/5NRR b - - 0 24,48,tKbAFykI,d8f8,-439,27,d8f8,0.8038,0.8523,0.8648,0.8255,d8f8,d8f8,d8f8,d8f8,0.0,0.8648,0.0217,False
r4q2/2pb3k/pp1p4/3Ppp1P/4Pn2/P1P2P2/1P1Q4/4KNRR b - - 0 26,52,tKbAFykI,f5e4,-260,19,d7b5,0.4262,0.416,0.4195,0.3839,f5e4,f5e4,f5e4,f5e4,0.0,0.4262,-0.0423,False
r4q2/2p4k/pp1p2nP/1b1PppQ1/4P3/P1P2P2/1P6/4KNRR b - - 2 28,56,tKbAFykI,f8f7,-707,13,f8f7,0.2347,0.3045,0.3524,0.3466,f8f7,f8f7,f8f7,f8f7,0.0,0.3524,0.1119,False
r7/2p2qQk/pp1p3P/1b1PpP2/5n2/P1P2P2/1P6/4KNRR b - - 2 30,60,tKbAFykI,f7g7,-1993,0,f7g7,1.0,1.0,1.0,1.0,f7g7,f7g7,f7g7,f7g7,0.0,1.0,0.0,False
r6k/2p3R1/pp1p1P1P/1b1Pp3/5n2/P1P2P2/1P6/4KN1R b - - 0 32,64,tKbAFykI,e5e4,-517,27,b5d3,0.0038,0.0031,0.0025,0.0021,f4d3,f4d3,f4d3,f4d3,77.0,0.0038,-0.0017,False
r5Rk/2p2P2/pp1p3P/3np3/8/P1Pb1P2/1P6/4KN1R b - - 1 34,68,tKbAFykI,a8g8,-387,1606,a8g8,0.9508,0.9781,0.9854,0.9843,a8g8,a8g8,a8g8,a8g8,0.0,0.9854,0.0335,False
r1bqk2r/ppp2ppp/2n1pn2/8/1b1PP3/2NBBN2/PP3PPP/R2QK2R b KQkq - 3 8,16,YxIwGvic,e8g8,-170,19,e8g8,0.4838,0.5647,0.6177,0.5977,e8g8,e8g8,e8g8,e8g8,0.0,0.6177,0.1139,False
r1bq1rk1/ppp2pp1/2n1pn1p/8/1b1PP3/2N1BN2/PPB2PPP/R2Q1RK1 b - - 1 10,20,YxIwGvic,e6e5,-198,9,b4a5,0.0814,0.0391,0.0148,0.0104,f8e8,f8e8,f6g4,f6g4,57.0,0.0814,-0.071,False
r1bq1rk1/ppp2pp1/4pn1p/b7/1n1PP3/2N1BN2/PPBQ1PPP/R4RK1 b - - 5 12,24,YxIwGvic,b4c2,-31,41,b4c2,0.7152,0.8398,0.9249,0.9602,b4c2,b4c2,b4c2,b4c2,0.0,0.9602,0.245,False
