fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique
6k1/pprbqpp1/4p2p/n7/8/4PN2/PP2BPPP/2RQ2K1 b - - 1 20,40,?,d7e8,-2,2,c7c1,0.0022,0.0015,0.0012,0.0012,c7c1,c7c1,c7c1,c7c1,1.0,0.0022,-0.001,False
6k1/pp1bqpp1/2n1p2p/8/8/4P3/PP1NBPPP/2Q3K1 b - - 2 22,44,?,d7e8,1,7,e7d8,0.0139,0.0185,0.0237,0.0311,c6b4,c6b4,c6b4,c6b4,233.0,0.0311,0.0172,True
3q2k1/p2b1pp1/1pnQp2p/8/8/4P3/PP1NBPPP/6K1 b - - 1 24,48,?,d8e7,0,5,d8e7,0.1547,0.2502,0.3774,0.4686,c6e7,d8e7,d8e7,d8e7,0.0,0.4686,0.3139,False
6k1/p2bnpp1/1p2p2p/8/5P2/4P3/PP1NB1PP/6K1 b - - 0 26,52,?,e7c6,0,0,f7f6,0.0354,0.0376,0.0332,0.0269,e7d5,e7d5,e7d5,e7d5,9.0,0.0376,-0.0085,False
8/p2bnkp1/1p2pp1p/8/2N2P2/4P3/PP2BKPP/8 b - - 3 28,56,?,e7c6,3,5,e7c6,0.0574,0.0685,0.0693,0.066,d7b5,e7c8,e7c8,e7c8,16.0,0.0693,0.0086,False
8/p2bk1p1/1pn1pp1p/1N6/5P2/4P3/PP2BKPP/8 b - - 7 30,60,?,a7a5,0,2,a7a5,0.0495,0.0472,0.0407,0.0429,e6e5,a7a6,a7a6,a7a6,44.0,0.0495,-0.0066,False
3n4/3bk1p1/1p2pp1p/p7/5P2/2N1P3/PP2B1PP/4K3 b - - 3 32,64,?,d8b7,0,0,d8b7,0.0684,0.0896,0.1046,0.1106,d8c6,d8c6,d7c6,d7c6,0.0,0.1106,0.0422,False
8/1n2k1p1/1pb1pp1p/p7/5P2/2N1PB2/PP1K2PP/8 b - - 7 34,68,?,e7d6,0,0,e7d6,0.06,0.0577,0.0518,0.0627,c6f3,c6f3,c6f3,c6f3,1.0,0.0627,0.0027,False
r1bqk1nr/1p1pppbp/p5p1/8/3pP3/3B4/PPPPNPPP/R1BQ1RK1 b kq - 1 8,16,?,d7d5,38,34,d7d6,0.0881,0.0822,0.0697,0.1004,e7e5,e7e5,e7e5,e7e5,31.0,0.1004,0.0123,False
r1bqk1nr/1p2ppbp/p2p2p1/8/4P3/2PB4/PP2NPPP/R1BQ1RK1 b kq - 0 10,20,?,g8f6,-5,22,g8f6,0.5266,0.5209,0.5594,0.5823,g8f6,g8f6,g8f6,g8f6,0.0,0.5823,0.0557,False
