fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique,source,batch,white_elo,black_elo,mover_elo,real_found,hard_core,family,sim,margin
rnbb2k1/pp2n1p1/1q2p2p/3pPr2/1P1P4/P2Q1N2/4NP1P/RBB3RK b - - 5 20,40,tz1iopky,g8f7,-418,3,b8d7,0.0143,0.0181,0.0152,0.0104,b8c6,b8c6,g8h8,g8h8,191.0,0.0181,-0.0039,True,club,03_bands_club,2008,2140,2140,False,True,6,0.7432,0.0269
5n1r/p3r1k1/3p1p2/1R3P1p/4P1p1/2b1B1P1/B5KP/5R2 b - - 0 32,64,GF5vtBlD,f8h7,0,3,h5h4,0.0241,0.0289,0.0332,0.041,e7e4,e7e4,e7e4,e7e4,698.0,0.041,0.0169,True,club,03_bands_club,2073,2049,2049,False,True,5,0.5108,0.0816
rn3rk1/pb4pp/3q4/1p1Ppp2/4p3/PQ2P3/BP1N1PPP/2R1K2R b K - 3 16,32,Sodns02o,d6b6,-100,5,a7a6,0.0023,0.0013,0.0007,0.0004,a7a6,a7a6,a7a6,a7a6,131.0,0.0023,-0.0019,True,club,03_bands_club,2013,2008,2008,False,True,5,0.6219,0.0171
r1bqk2r/pp2nppp/2n1p3/2bpP3/3p3P/3B1N2/PPP2PP1/RNBQR1K1 b kq - 0 8,16,T4nwWbUI,f7f6,69,7,c8d7,0.0092,0.0048,0.0015,0.0006,e8g8,e8g8,e8g8,e7g6,119.0,0.0092,-0.0086,True,club,03_bands_club,2059,2062,2062,False,True,3,0.7548,0.1198
2r4r/1R1nbk2/p2p4/Q2Pp1B1/6p1/3N2P1/P1q1P2P/5RK1 b - - 2 28,56,plgryZ5x,f7g8,-430,45,f7e8,0.0073,0.007,0.0067,0.0079,f7e8,f7e8,f7e8,f7e8,176.0,0.0079,0.0006,True,club,03_bands_club,2163,2092,2092,False,True,6,0.663,0.1725
rn2kb1r/pp4pp/1q2bp2/1Np1p3/1P2Pn2/P4NP1/1B1P1P1P/R2QKB1R b KQkq - 0 12,24,3aB1dfSc,f4g2,72,94,f4g2,0.0026,0.0013,0.0009,0.0007,f4g6,f4g6,f4g6,f4g6,102.0,0.0026,-0.0019,True,club,03_bands_club,2068,2004,2004,True,False,3,0.6461,0.0105
1r6/p1pk1p1p/4p1pb/3pP3/3P1P2/1N1K2P1/P6P/1R6 b - - 0 24,48,MIzinMiu,b8b6,203,50,b8b6,0.0169,0.0173,0.0148,0.0094,h6f8,h6f8,h6f8,h6f8,689.0,0.0173,-0.0075,True,club,03_bands_club,2143,2132,2132,True,False,0,0.5506,0.1308
r2q1r2/2p1npkp/3p2p1/1bnPp3/p3P1PP/P4N2/1PBQNP2/1K1R3R b - - 0 20,40,R3UMS70h,f7f6,-36,11,h7h6,0.0117,0.0121,0.015,0.0221,c5b3,c5b3,c5b3,c5b3,194.0,0.0221,0.0104,True,club,03_bands_club,2051,2156,2156,False,True,2,0.6246,0.182
r6k/2p2r2/3p1qQP/1bnPpP2/p7/P7/1PB2P2/1K4RR b - - 2 32,64,R3UMS70h,a8d8,0,387,b5d3,0.0011,0.0011,0.0011,0.0013,f6g6,f6g6,f6g6,b5d3,457.0,0.0013,0.0002,True,club,03_bands_club,2051,2156,2156,False,True,0,0.474,0.0107
rn2r2k/2pbP1bp/q4pp1/ppB1p3/4P2N/1BN4P/PPP2QP1/2KR3R b - - 2 18,36,IGzjdpUG,d7e6,-539,53,b5b4,0.0332,0.0335,0.0381,0.0488,a5a4,a5a4,a5a4,a5a4,1458.0,0.0488,0.0156,True,club,03_bands_club,2040,2183,2183,False,True,1,0.8153,0.1812
2r5/1r1nppk1/6pp/1p6/1RN1PP2/4K1PP/8/1R6 b - - 1 34,68,6MvoTGWB,b7a7,334,15,b7b8,0.0072,0.0064,0.0062,0.0064,c8c4,c8c4,c8c5,c8c5,227.0,0.0072,-0.0008,True,club,03_bands_club,2064,2081,2081,False,True,0,0.5565,0.2351
r3kbnr/p3q3/Qnpp1p2/4p1pp/4P3/1PN1BN2/1PP2PPP/R3R1K1 b kq - 0 14,28,oSlFawPh,a8b8,-253,137,a8d8,0.0165,0.0075,0.0051,0.0044,e7c7,e7c7,e7c7,e7c7,328.0,0.0165,-0.0121,True,club,03_bands_club,2181,2008,2008,False,True,6,0.6651,0.0846
8/8/2p2pk1/2Q1p3/1P2P3/6N1/1Pq2PK1/8 b - - 1 34,68,oSlFawPh,c2a4,-648,2,c2b2,0.0117,0.0102,0.0089,0.0075,c2b2,c2b2,c2b2,c2b2,1345.0,0.0117,-0.0042,True,club,03_bands_club,2181,2008,2008,False,True,1,0.8202,0.4963
1r3qk1/1bR2pbp/p3p1p1/3p4/3Pn3/5NP1/PPQ1PPBP/5RK1 b - - 3 18,36,NeJZKODk,f8d8,-372,7,a6a5,0.0165,0.0154,0.0148,0.0165,f8d6,f8b4,f8b4,f8b4,170.0,0.0165,0.0,True,club,03_bands_club,2138,2125,2125,False,True,1,0.6637,0.0282
q4b2/1RR2pk1/4p1pp/3p4/r1nP4/4PNP1/P1Q2PKP/8 b - - 3 34,68,NeJZKODk,c4e3,-612,1,a4a2,0.0146,0.0127,0.0107,0.0086,c4d6,c4d6,c4d6,c4d6,263.0,0.0146,-0.006,True,club,03_bands_club,2138,2125,2125,False,True,1,0.6924,0.0336
r4rk1/p4pp1/7p/2qB4/8/2n2Q1P/R1P2PP1/3R2K1 b - - 0 24,48,8T6hEcEm,a8e8,325,111,c3a2,0.0045,0.0028,0.0021,0.0023,c3d1,c3d1,c3d1,c3a2,329.0,0.0045,-0.0022,True,club,03_bands_club,2126,2019,2019,False,True,0,0.522,0.182
rr6/3nbRpk/3p4/4p2P/4q3/Pp2B3/1P1Q4/K1N5 b - - 3 28,56,sS6iZeQ7,a8a3,799,183,a8a3,0.0414,0.0439,0.041,0.041,b8e8,b8e8,b8e8,b8e8,390.0,0.0439,-0.0004,True,club,03_bands_club,2298,2222,2222,True,False,4,0.8788,0.4264
r2qk2r/1bpn1pb1/pp1pp1p1/7p/3P4/2PBPNP1/PP1NQPP1/3RR1K1 b kq - 1 14,28,UL9eF1zz,e8g8,19,5,h5h4,0.0143,0.0066,0.0061,0.0238,h5h4,h5h4,g6g5,h5h4,182.0,0.0238,0.0095,True,club,03_bands_club,2104,2065,2065,False,True,3,0.6558,0.0032
7r/1bp1k1b1/p2ppn1q/3P4/2P1p1p1/6P1/P1B2PQ1/3RRNK1 b - - 0 30,60,UL9eF1zz,f6h7,-114,21,e6d5,0.0033,0.004,0.0049,0.0057,e6d5,e6d5,e6d5,e6e5,107.0,0.0057,0.0024,True,club,03_bands_club,2104,2065,2065,False,True,2,0.5369,0.0682
7r/1bp1k3/p6q/3Rp3/6p1/6P1/P1B2PQ1/5NK1 b - - 0 34,68,UL9eF1zz,h6h1,-333,92,b7d5,0.0211,0.0287,0.0354,0.0328,b7d5,b7d5,b7d5,b7d5,142.0,0.0354,0.0117,True,club,03_bands_club,2104,2065,2065,False,True,7,0.5837,0.2278
1rbq1rk1/8/2n1pbP1/1pn3NQ/p1p1NP2/2Pp4/PP1P4/RBB3RK b - - 1 24,48,Wc7RHEvl,f8f7,-1033,248,b8b7,0.0211,0.0184,0.0141,0.0087,f6g5,f6g5,d8e7,d8e7,961.0,0.0211,-0.0124,True,club,03_bands_club,2069,2027,2027,False,True,6,0.6373,0.231
1rr3k1/p2b1pp1/1q2p2p/4Q3/1b6/3pP2N/P2P2PP/R1B1K2R b KQ - 1 22,44,BYa3bz8h,f7f5,512,21,b4e7,0.0007,0.0003,0.0002,0.0002,c8c5,c8c5,c8c5,c8c5,106.0,0.0007,-0.0005,True,club,03_bands_club,2035,2077,2077,False,True,4,0.848,0.2494
1r4k1/p4p2/7p/1q4r1/5Q2/3pP2P/P2P3P/R1B1K3 b - - 4 30,60,BYa3bz8h,b8b6,717,24,b8b6,0.0019,0.0021,0.0032,0.0058,g5g1,g5g1,g5g1,g5g1,158.0,0.0058,0.0039,True,club,03_bands_club,2035,2077,2077,True,False,4,0.8874,0.4213
6k1/p4p2/1r5p/3q2r1/P3PQ2/3p3P/3P3P/R1B1K3 b - - 0 32,64,BYa3bz8h,b6e6,1991,1089,d5d4,0.0248,0.0252,0.0274,0.0276,g5g1,g5g1,g5g1,g5g1,1063.0,0.0276,0.0028,True,club,03_bands_club,2035,2077,2077,False,True,4,0.9087,0.526
r1q2rk1/2p1b1pn/p1N1P1np/1p3p2/4pB2/7P/PPB2PPK/R2QRN2 b - - 5 20,40,JDwomDgU,e7f6,-400,23,c8e6,0.005,0.0043,0.0041,0.0034,c8e6,c8e6,g6f4,c8e6,229.0,0.005,-0.0016,True,club,03_bands_club,2103,2105,2105,False,True,7,0.6871,0.1033
4r1k1/2R2p1p/1p4p1/3q4/2Q5/4P1P1/1P3P1P/6K1 b - - 1 24,48,u6pv82Vv,d5f5,-160,52,d5f3,0.0278,0.0314,0.0337,0.0386,d5d1,d5d1,d5d1,d5d1,101.0,0.0386,0.0108,True,club,03_bands_club,2174,2048,2048,False,True,5,0.5555,0.2731
5rk1/pp3ppp/2b1p3/8/2N2n2/1PR1KP2/P2r2PP/3B3R b - - 8 24,48,7mCeZayN,d2d1,0,126,d2d1,0.032,0.024,0.0168,0.0127,d2a2,d2a2,d2a2,d2a2,117.0,0.032,-0.0193,True,club,03_bands_club,2061,2040,2040,True,False,0,0.5168,0.146
r3k2r/1pqbbp2/p3p3/1P1p3p/P2N1Pp1/2P5/2QN3P/R4RK1 b kq - 0 20,40,gIA1FK8w,a8c8,350,11,a6b5,0.0144,0.017,0.0278,0.0446,a6b5,e7c5,e7c5,e7c5,107.0,0.0446,0.0302,True,club,03_bands_club,2036,2100,2100,False,True,4,0.7369,0.1093
2b3k1/5rp1/p2r3p/1p1pp2q/1P2p3/1NP1B2P/1P2QPPK/3RR3 b - - 11 30,60,6wWmvpKB,f7f3,296,440,h5g6,0.0084,0.0073,0.0057,0.0049,h5g6,h5g6,h5g6,h5g6,599.0,0.0084,-0.0035,True,club,03_bands_club,2111,2102,2102,False,True,7,0.7212,0.274
1r1r1bk1/5p1p/1q4p1/p1p1PP2/Pn1pB3/7P/1P1B1QP1/3R1R1K b - - 0 30,60,HBqDaEuS,b6c7,-326,26,c5c4,0.0219,0.0276,0.0302,0.0308,d4d3,b4d5,b4d5,b4d5,242.0,0.0308,0.0089,True,club,03_bands_club,2137,2096,2096,False,True,6,0.7453,0.1662
r4rk1/ppqnppbp/2p2np1/3p1b2/2P5/1P1P1NP1/PB1NPPBP/2RQ1RK1 b - - 4 10,20,Ip7L2BB9,f5g4,-83,4,d5c4,0.0098,0.0099,0.0087,0.004,d5c4,d5c4,d5c4,e7e5,218.0,0.0099,-0.0058,True,club,03_bands_club,2130,2053,2053,False,True,3,0.7474,0.1409
3r2k1/q4pb1/2p1p1p1/2Nr1n1p/3P1B1P/pPP2QP1/P4P2/R3R1K1 b - - 0 28,56,TPMiI0zU,g7d4,-38,20,a7b6,0.036,0.0296,0.0255,0.0209,a7a5,a7a5,g7f8,g7f8,175.0,0.036,-0.0151,True,club,03_bands_club,2007,2016,2016,False,True,2,0.5941,0.0435
6k1/5pp1/R4n2/b2r2N1/5P2/2p5/2P3PP/4BK2 b - - 2 34,68,NquMvyrA,f6e8,-267,16,g7g6,0.0078,0.0094,0.0122,0.018,d5d1,g7g6,g7g6,g7g6,241.0,0.018,0.0102,True,club,03_bands_club,2210,2285,2285,False,True,5,0.6676,0.1775
8/pbp2k2/1p1p2r1/8/2P2B2/1P2PP2/P4K2/7R b - - 1 30,60,taSdBojc,f7e8,-133,14,f7g7,0.0059,0.0071,0.0059,0.0042,f7e6,f7e6,f7e6,f7e6,361.0,0.0071,-0.0017,True,club,03_bands_club,2035,2057,2057,False,True,5,0.5537,0.2026
r3r1kb/4pp1p/p4npB/1p1bR1N1/1P3QPP/3B4/q1P2P2/4R1K1 b - - 0 26,52,gdHxPYiS,f6g4,80,54,h8g7,0.0353,0.0248,0.0149,0.0082,e7e6,e7e6,e7e6,e7e6,340.0,0.0353,-0.0271,True,club,03_bands_club,2055,2051,2051,False,True,2,0.5881,0.0455
r3r1n1/4ppk1/p5pp/1p1bR1PP/1P3Q2/3B3N/q1P2P2/4R1K1 b - - 0 30,60,gdHxPYiS,a8d8,-423,25,g6h5,0.0455,0.0406,0.0341,0.0343,h6g5,h6g5,h6g5,d5e6,227.0,0.0455,-0.0112,True,club,03_bands_club,2055,2051,2051,False,True,6,0.7861,0.2308
7r/pp3pk1/1q2bnp1/5pQ1/5P2/2N4P/PP1R2P1/5R1K b - - 3 30,60,JzafXp3I,f6g4,389,389,b6c6,0.0334,0.0373,0.043,0.0447,h8h5,h8h5,h8h5,b6e3,417.0,0.0447,0.0113,True,club,03_bands_club,2208,2310,2310,False,True,0,0.5343,0.131
2r2rk1/3bppbp/pqnp2p1/1p2N3/2P2P2/2P1N1nP/PP3QB1/R1B2RK1 b - - 1 18,36,TbYdBSKL,d6e5,328,2,d6e5,0.0363,0.0294,0.0323,0.0427,g3f1,g3f1,g3f1,g3f1,204.0,0.0427,0.0064,True,club,03_bands_club,2128,2078,2078,True,False,0,0.5543,0.0113
r1b2rk1/p1q2ppp/3b1n2/1pp1N1Q1/3B4/1B6/PPP3PP/RN3RK1 b - - 1 16,32,hLSNDtw8,h7h6,257,313,c5d4,0.0172,0.0088,0.0041,0.0017,c5d4,c5d4,c5d4,c5d4,414.0,0.0172,-0.0155,True,club,03_bands_club,2047,2030,2030,False,True,7,0.6623,0.1536
r3kb1r/1pq2ppp/p1n1bn2/P2pp3/4P3/N1B2P2/1Q4PP/R3KBNR b KQkq - 3 16,32,0WkOuwhF,f8c5,559,43,f8c5,0.0403,0.0306,0.0255,0.0464,d5d4,d5d4,d5d4,d5d4,150.0,0.0464,0.0061,True,club,03_bands_club,2225,2310,2310,True,False,4,0.8676,0.379
2k1r2r/pp1n2p1/4pp2/P1pp4/3P2q1/2P1PN2/1Q1NKR1b/1R6 b - - 2 26,52,NyHt8d3p,c8d8,156,41,b7b6,0.0149,0.0054,0.0017,0.0006,h2c7,h2c7,h2c7,h2c7,258.0,0.0149,-0.0143,True,club,03_bands_club,2067,2063,2063,False,True,0,0.5949,0.1095
2k1r2r/3n2p1/1p2pp2/1Qpp4/3P2q1/2P1PN2/3NKR1b/1R6 b - - 1 28,56,NyHt8d3p,e6e5,239,32,c5c4,0.0425,0.0249,0.0182,0.0193,h2g3,h2g3,h2c7,h2c7,346.0,0.0425,-0.0232,True,club,03_bands_club,2067,2063,2063,False,True,0,0.6165,0.1421
4r1k1/1p1npp2/3p2p1/1qnP2Pp/p2Q1P1P/P7/1PP1R3/2K1R3 b - - 0 26,52,wOkFWvF5,d7f8,247,4,d7b6,0.0085,0.0087,0.0103,0.0191,e7e6,g8f8,g8f8,g8f8,2246.0,0.0191,0.0106,True,club,03_bands_club,2238,2251,2251,False,True,0,0.5448,0.1239
6k1/1p2Rp2/1n1p2p1/1qnP2Pp/p2Q1P1P/P7/1PP5/2K5 b - - 0 28,56,wOkFWvF5,b6d5,334,164,b5f1,0.0015,0.0005,0.0003,0.0003,b5f1,b5f1,b5f1,b5f1,126.0,0.0015,-0.0012,True,club,03_bands_club,2238,2251,2251,False,True,0,0.4486,0.0873
5k2/1p3p2/1n1p2p1/2nP2Pp/p2Q1P1P/P7/1PPKR3/5q2 b - - 4 30,60,wOkFWvF5,f1e2,-524,155,f1e2,0.0045,0.0036,0.0033,0.0028,f1h3,f1h3,f1f3,f8g8,1474.0,0.0045,-0.0017,True,club,03_bands_club,2238,2251,2251,True,False,6,0.404,0.0392
1r1k2r1/1p6/pN1p2q1/P1pPp2p/2P1Rp1b/5P1P/1P5Q/R4K2 b - - 2 32,64,1A3tnriw,g6f5,339,23,g6g3,0.0178,0.0174,0.0199,0.0313,h4g3,h4g3,h4g3,h4g3,134.0,0.0313,0.0135,True,club,03_bands_club,2086,2173,2173,False,True,0,0.5419,0.017
1n6/4kppp/p3p3/4n3/P3N3/8/5PPP/2B3K1 b - - 0 26,52,2HK8BJvt,e5c4,253,87,e5d3,0.0354,0.0313,0.0281,0.0269,b8c6,b8c6,b8c6,b8c6,186.0,0.0354,-0.0085,True,club,03_bands_club,2202,2274,2274,False,True,0,0.441,0.1129
r6k/pp2n1pp/5q1r/3b1p2/2N1pP2/1B2NRP1/PP5P/R2Q2K1 b - - 0 22,44,egF5wtgg,d5c4,187,415,e4f3,0.0227,0.0212,0.0245,0.03,e4f3,e4f3,e4f3,e4f3,412.0,0.03,0.0073,True,club,03_bands_club,2147,2114,2114,False,True,7,0.5826,0.149
3r3k/pp4pp/7r/5p2/2Nq1P2/1B3QP1/PP5P/R6K b - - 2 26,52,egF5wtgg,h6e6,-456,15,b7b5,0.0393,0.0388,0.0319,0.0249,b7b5,b7b5,b7b5,b7b5,128.0,0.0393,-0.0144,True,club,03_bands_club,2147,2114,2114,False,True,7,0.5989,0.1118
3r2k1/pp3p1p/6n1/2pP3N/8/8/PP4P1/2K4R b - - 0 26,52,lLVtBWMu,g6e5,112,8,h7h6,0.0208,0.021,0.025,0.0275,d8d5,d8d5,d8d5,d8d5,640.0,0.0275,0.0067,True,club,03_bands_club,2061,2082,2082,False,True,0,0.5257,0.0333
r1b5/ppqp2p1/3Bp1k1/4nr2/2P1Np1Q/P1R5/1P3PPP/5RK1 b - - 5 20,40,O12YPdAA,c7c4,-603,54,c7c6,0.0209,0.0127,0.0096,0.009,c7c6,c7c6,c7c6,c7c6,112.0,0.0209,-0.0119,True,club,03_bands_club,2026,2029,2029,False,True,1,0.8131,0.1188
r1b5/pp1p1np1/2q1p1k1/5r2/2P1NB1Q/P1R5/1P3PPP/4R1K1 b - - 0 22,44,O12YPdAA,c6e4,-894,41,f5h5,0.0066,0.0045,0.0035,0.0029,f5h5,f5h5,f5h5,f5h5,1095.0,0.0066,-0.0037,True,club,03_bands_club,2026,2029,2029,False,True,1,0.8768,0.2534
2r1r1k1/b4pp1/B3p1p1/p2p4/3P3P/BRn3P1/P4P2/4R1K1 b - - 3 30,60,0rUok99i,a5a4,221,106,c8c6,0.0047,0.0029,0.0019,0.0015,c8c7,c8c7,c8c7,c8c7,110.0,0.0047,-0.0032,True,club,03_bands_club,2334,2224,2224,False,True,0,0.5363,0.1296
r3n1k1/2p3p1/2p2pp1/2Pp2P1/1Pb4P/2P5/3B1R2/4N1K1 b - - 2 28,56,LdL7YIf7,d5d4,0,0,a8a1,0.0018,0.001,0.0006,0.0005,f6f5,f6f5,f6f5,f6f5,141.0,0.0018,-0.0013,True,club,03_bands_club,2054,2053,2053,False,True,5,0.4498,0.0411
4n1k1/2p1r1p1/2p2pp1/1bPp2P1/1P1N3P/2P3K1/3B1R2/8 b - - 14 34,68,LdL7YIf7,g8f8,-32,6,e7e5,0.002,0.0016,0.0013,0.0016,f6g5,f6f5,f6f5,f6f5,166.0,0.002,-0.0004,True,club,03_bands_club,2054,2053,2053,False,True,5,0.4706,0.1097
r3k2r/pp2q1b1/2n2np1/2pbp1Np/P3N2P/2PP1P2/1P2B3/R1BQK2R b KQkq - 2 16,32,iB1gL2t6,b7b6,30,20,e8c8,0.0292,0.0289,0.0266,0.023,e8c8,e8c8,e8c8,e8c8,108.0,0.0292,-0.0062,True,club,03_bands_club,2056,2033,2033,False,True,2,0.6713,0.0885
2kn1r1r/ppp1qN2/3p4/2b1p2n/2N1P1QP/2PP2P1/PP4P1/2KR1R2 b - - 2 18,36,U40VXCPd,e7e6,-78,123,c8b8,0.0382,0.0335,0.0338,0.0393,d8e6,d8e6,d8e6,d8e6,220.0,0.0393,0.0011,True,club,03_bands_club,2010,2060,2060,False,True,6,0.6314,0.1584
3q3r/k1p2R1P/pb1pn1n1/1p2pRP1/4P3/2PP2Q1/PP1N2P1/3K4 b - - 2 34,68,U40VXCPd,d8e8,-113,78,d8e8,0.0319,0.0284,0.0284,0.0374,e6f4,e6f4,e6f4,e6f4,198.0,0.0374,0.0055,True,club,03_bands_club,2010,2060,2060,True,False,6,0.5737,0.1505
1rb2rk1/q5pp/pnpb4/2p1pP2/2Pp3N/BP1P3P/PN1Q1PP1/R4RK1 b - - 0 18,36,zqcWYIYn,a7e7,96,119,c8f5,0.022,0.017,0.0214,0.0406,c8f5,c8f5,c8f5,c8f5,124.0,0.0406,0.0186,True,club,03_bands_club,2005,2033,2033,False,True,2,0.6843,0.1983
r1bqrbk1/pp3ppp/2ppnn2/4p3/1PP1N3/P1NQP1P1/3P1PBP/R1B1K2R b KQ - 0 12,24,qZRnTfnD,f6d7,93,10,g7g6,0.0054,0.0057,0.0058,0.0073,d6d5,f6e4,f6e4,d6d5,112.0,0.0073,0.0019,True,club,03_bands_club,2089,2105,2105,False,True,2,0.6646,0.0669
rn2R2N/p5kp/2p5/1p1q1pb1/2pP4/8/PP3PPP/R2Q2K1 b - - 2 18,36,qxF2zoL1,b8d7,-650,44,c6c5,0.0116,0.0081,0.0063,0.0041,c6c5,g5f6,g5f6,g5f6,103.0,0.0116,-0.0075,True,club,03_bands_club,2049,2051,2051,False,True,6,0.6483,0.0195
2b5/1p3Nnk/2p1pR1p/r5p1/p2Pp1P1/P1P1P1qP/1P6/1KQ5 b - - 4 26,52,PPRxsfTh,g7f5,183,84,g3h3,0.0199,0.0239,0.032,0.0413,g3h3,g3h3,g3h3,g3h3,266.0,0.0413,0.0214,True,club,03_bands_club,2135,2178,2178,False,True,6,0.5311,0.0595
1r3q1k/7n/p5Q1/1pp5/3bP1P1/7P/P3RP2/3R2K1 b - - 0 34,68,AfPUZYEj,f8f4,260,190,f8f4,0.0253,0.0258,0.0269,0.0309,f8f3,f8f3,f8f3,f8f3,228.0,0.0309,0.0056,True,club,03_bands_club,2052,2147,2147,True,False,0,0.5441,0.1399
4r2r/6p1/4ppkn/1R5p/1bpPP3/P1Nn1NBP/3K1PP1/R7 b - - 0 28,56,CG1pAwvC,e8a8,-192,120,e8a8,0.0256,0.0259,0.0322,0.0477,b4c3,b4c3,b4c3,b4c3,141.0,0.0477,0.0221,True,club,03_bands_club,2070,2028,2028,True,False,6,0.6429,0.0467
r2r2k1/ppq1pp1p/n1P3p1/3P1b2/2Q2P2/2P2N2/P5PP/R2K1B1R b - - 2 16,32,cnAQHeLu,d8d5,418,38,e7e6,0.0068,0.005,0.005,0.0062,b7c6,b7c6,b7c6,b7c6,258.0,0.0068,-0.0006,True,club,03_bands_club,2030,2040,2040,False,True,0,0.6605,0.1096
r6k/p1n3b1/1pp2q2/5r2/QPP2p2/P5P1/6P1/3RRBK1 b - - 0 32,64,SnYUq4nc,f6d4,1996,1102,f4g3,0.0045,0.003,0.0024,0.0036,f4g3,f4g3,f4g3,f4g3,989.0,0.0045,-0.0009,True,club,03_bands_club,2011,2118,2118,False,True,4,0.8897,0.4105
r1b1r1k1/ppqn1pb1/2pp3p/4N1pn/3P4/1QP1P1B1/PP1NBPPP/2R2RK1 b - - 0 14,28,FtKUbsgw,d7f6,-119,134,h5g3,0.0045,0.0021,0.001,0.0005,h5g3,h5g3,h5g3,h5g3,686.0,0.0045,-0.004,True,club,03_bands_club,2035,2069,2069,False,True,6,0.584,0.0424
r7/1p2qk2/2p3p1/p3Bp1n/2PP1N2/1P3Q2/PK3P2/8 b - - 1 26,52,kxN2VztW,e7g5,205,72,h5f4,0.0258,0.024,0.0208,0.0185,h5f4,h5f4,h5f4,h5f4,126.0,0.0258,-0.0073,True,club,03_bands_club,2070,2010,2010,False,True,0,0.4622,0.0884
8/1p3rk1/p6p/P2pR3/2bP4/2N4P/1P4P1/6K1 b - - 2 32,64,bAmPpDFC,f7f4,-184,2,f7d7,0.0495,0.0477,0.0448,0.0432,f7f1,f7f1,f7d7,f7d7,122.0,0.0495,-0.0063,True,club,03_bands_club,2258,2277,2277,False,True,5,0.6377,0.2703
1r3rk1/1ppq1ppp/p1np1b2/4p3/2P3b1/1P3NP1/PBQPPPBP/R3R1K1 b - - 1 12,24,NtLRD964,e5e4,222,184,c6b4,0.0113,0.0125,0.013,0.0141,f8e8,g4h3,g4h3,f8e8,205.0,0.0141,0.0028,True,club,03_bands_club,2181,2145,2145,False,True,2,0.6247,0.0298
4r1k1/2p1rp2/5b2/1p1P2Pp/1P1p2q1/P2P1NP1/1QR2PK1/2R5 b - - 0 28,56,NtLRD964,h5h4,-148,147,f6g5,0.0183,0.0132,0.0115,0.0148,f6g5,f6g5,f6g5,f6g5,131.0,0.0183,-0.0035,True,club,03_bands_club,2181,2145,2145,False,True,6,0.561,0.0513
r1b1rb1k/2q2ppB/2p4p/ppn1p1N1/7P/2P1P1B1/PPQ2PP1/2KR3R b - - 4 18,36,lxPd8gAD,e8e7,-2,85,a5a4,0.0079,0.0077,0.0076,0.0073,g7g6,g7g6,b5b4,b5b4,380.0,0.0079,-0.0006,True,club,03_bands_club,2018,2024,2024,False,True,2,0.6368,0.1019
r1bq1rk1/ppp2pp1/1bnp1n1p/8/1PBPP3/P4N1P/1B3PP1/RN1QR1K1 b - - 1 12,24,wNpjKC4g,f6e4,-68,23,f8e8,0.0083,0.0036,0.0025,0.0043,f8e8,f8e8,a7a6,f8e8,137.0,0.0083,-0.004,True,club,03_bands_club,2075,2116,2116,False,True,3,0.775,0.1655
4r1k1/1p2q1p1/p3bp1p/2Ppn3/1P1Q4/P6P/1BB2PP1/4R1K1 b - - 3 28,56,wNpjKC4g,e7d7,-64,35,e7f7,0.019,0.0212,0.0221,0.0211,e5c6,e5c6,e5c6,e6h3,207.0,0.0221,0.0021,True,club,03_bands_club,2075,2116,2116,False,True,5,0.5281,0.0005
3r4/p1N2k2/2n3pp/1p3p2/1P6/1PP3P1/2K4P/4R3 b - - 2 34,68,8EqMiShh,c6b4,39,161,c6b4,0.0012,0.0008,0.0006,0.0005,a7a6,d8d7,d8d7,d8d7,236.0,0.0012,-0.0007,True,club,03_bands_club,2230,2236,2236,True,False,5,0.5769,0.1925
4r1k1/pp2qp2/6pQ/3P4/2P4P/2PnP1P1/P7/R5K1 b - - 0 28,56,j0ElVzPn,e7c5,661,154,e7e3,0.0116,0.0098,0.0085,0.0094,e7e3,e7e3,e7e3,e7e3,275.0,0.0116,-0.0022,True,club,03_bands_club,2286,2283,2283,False,True,4,0.8706,0.3735
2kr3r/ppp2ppp/5n2/q2Pp3/1bPn4/2N2B2/PP1B1PPP/R2Q1RK1 b - - 4 12,24,KzzPArkG,a5a6,-27,34,h8e8,0.0039,0.0039,0.005,0.0066,h8e8,h8e8,h8e8,h8e8,108.0,0.0066,0.0027,True,club,03_bands_club,2142,2119,2119,False,True,3,0.6429,0.0388
2krr3/ppp2ppp/5n2/2qPp3/1bPn4/1PN2B2/P2B1PPP/R2QR1K1 b - - 0 14,28,KzzPArkG,c8b8,42,25,c7c6,0.0064,0.0102,0.0137,0.0229,e5e4,e5e4,e5e4,e5e4,221.0,0.0229,0.0165,True,club,03_bands_club,2142,2119,2119,False,True,2,0.638,0.063
r2q1rk1/pp4pp/3bb3/4n3/Q1P1B3/2Pp3P/PP1N1PP1/R1B1K2R b KQ - 0 16,32,OrDpuQtb,f8f2,464,188,d8f6,0.004,0.0057,0.0084,0.0102,d8f6,d8f6,d8f6,d8f6,373.0,0.0102,0.0062,True,club,03_bands_club,2060,2042,2042,False,True,0,0.603,0.1107
r1b2r2/1p3pk1/p3p1pn/2qpP2P/5P1Q/2NB1R1P/PPP5/R6K b - - 0 22,44,BUht9PsD,f7f5,-554,32,f7f5,0.0185,0.0133,0.0106,0.0108,h6f5,h6f5,h6f5,h6f5,144.0,0.0185,-0.0077,True,club,03_bands_club,2042,2005,2005,True,False,6,0.7958,0.1242
