fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique,source,batch,white_elo,black_elo,mover_elo,real_found,hard_core,family,sim,margin
8/2R1ppkp/p5p1/r1p1r3/P1P1PR2/1P6/3K2PP/8 b - - 2 28,56,E2025-10_169,h7h6,-198,2,h7h6,0.0145,0.0209,0.0316,0.0398,g6g5,g6g5,g6g5,g6g5,171.0,0.0398,0.0253,True,elite,03_elite_bands2,2765,2675,2675,True,False,1,0.4849,0.0075
8/1R2ppk1/p3r1pp/r1p5/P1P1PR2/1P2K3/6PP/8 b - - 3 30,60,E2025-10_169,e6e5,-199,7,e6e5,0.0383,0.0258,0.016,0.0161,g6g5,g6g5,g6g5,g6g5,121.0,0.0383,-0.0222,True,elite,03_elite_bands2,2765,2675,2675,True,False,5,0.5094,0.0766
r6r/p2nkppp/bppRp3/4P3/2P2P2/P1P1B3/4B1PP/2K4R b - - 3 16,32,E2025-10_170,a8d8,-96,11,a8c8,0.0457,0.03,0.0165,0.0088,c6c5,c6c5,c6c5,c6c5,103.0,0.0457,-0.0369,True,elite,03_elite_bands2,2423,2548,2548,False,True,2,0.5881,0.0556
2rr4/p2nkppp/bppRp3/4P3/2P2P2/P1P5/4BBPP/2KR4 b - - 7 18,36,E2025-10_170,g7g5,-144,179,f7f6,0.0069,0.004,0.0027,0.0021,f7f6,f7f6,f7f6,c8c7,208.0,0.0069,-0.0048,True,elite,03_elite_bands2,2423,2548,2548,False,True,2,0.5405,0.0113
r1bqkbnr/pp3ppp/4p3/4N3/1np5/B3P3/3P1PPP/RN1QKB1R b KQkq - 1 8,16,E2025-10_173,c8d7,3,2,c8d7,0.0028,0.0025,0.0022,0.0021,b4d3,b4d3,b4d3,b7b5,254.0,0.0028,-0.0007,True,elite,03_elite_bands2,2720,2981,2981,True,False,3,0.6723,0.1526
1r4r1/p1q3pk/b1p1p2p/3pN3/3PP3/B1P1Q3/PP3RPP/4R1K1 b - - 5 28,56,E2025-10_175,b8b7,-631,12,b8b7,0.0248,0.0286,0.0356,0.0442,d5e4,d5e4,d5e4,d5e4,199.0,0.0442,0.0194,True,elite,03_elite_bands2,2568,2502,2502,True,False,1,0.9273,0.4351
5B2/prq3rk/b1p1Q2p/4N1p1/3Pp3/2P5/PP3RPP/4R1K1 b - - 2 32,64,E2025-10_175,h6h5,-801,44,e4e3,0.0044,0.0036,0.0035,0.004,g7g8,g7g8,g7g8,g7g8,1198.0,0.0044,-0.0004,True,elite,03_elite_bands2,2568,2502,2502,False,True,1,0.9016,0.382
2r2rk1/pp3pPp/4pq2/8/8/2P2Q2/P4PP1/2B1K2R b K - 0 20,40,E2025-10_176,f6e5,361,137,f6e5,0.022,0.0222,0.0238,0.0277,f6g7,f6f3,f6f3,f6f3,635.0,0.0277,0.0057,True,elite,03_elite_bands2,2430,2574,2574,True,False,0,0.408,0.0929
6k1/5p1p/2r3p1/8/Pb1n4/1P2N2P/5PP1/1R4K1 b - - 0 32,64,E2025-10_177,c6c5,258,6,c6c3,0.0027,0.0027,0.0027,0.0025,c6c3,c6c3,c6c3,c6c3,532.0,0.0027,-0.0002,True,elite,03_elite_bands2,2629,2629,2629,False,True,0,0.4944,0.0076
1rbr2k1/pp1npp1p/3n2p1/N1p1b3/8/2N1B1P1/PPP1PPBP/R2R2K1 b - - 11 14,28,E2025-10_178,d8e8,-73,2,d8e8,0.004,0.0056,0.008,0.0105,b7b6,b7b6,b7b6,b7b6,278.0,0.0105,0.0065,True,elite,03_elite_bands2,2671,2650,2650,True,False,2,0.639,0.0446
